row_label_raw,row_label_full,Parties,Transaction,Receivables/(Payables),Receivables/(Payables)_1,Receivables/(Payables)_2,Receivables/(Payables)_3,Revenue/(Expenses),numeric__Transaction,numeric__Receivables/(Payables),numeric__Receivables/(Payables)_1,numeric__Receivables/(Payables)_2,numeric__Receivables/(Payables)_3,numeric__Revenue/(Expenses)
Parties,Parties,Parties,Transaction,01 January 2024,Increase,Decrease,31 December 2024,Revenue/(Expenses),,,,,,
Vietnam Digitalization and Healthcare Fund,Vietnam Digitalization and Healthcare Fund,Vietnam Digitalization and Healthcare Fund,Capital contribution under the equity method,"10,862,535,409","212,023,811","(37,463,183)","11,037,096,037","174,560,628",,,,,,
Vietnam Digitalization and Healthcare Fund,Vietnam Digitalization and Healthcare Fund,Vietnam Digitalization and Healthcare Fund,Fund management fee,"273,641,868","1,093,002,710","(1,089,468,931)","277,175,647","1,093,002,710",,,,,,
The PAN Group JSC and its subsidiaries,The PAN Group JSC and its subsidiaries,The PAN Group JSC and its subsidiaries,Sales of securities and certificates of deposit,-,"34,099,533,898,521","(34,099,533,898,521)",-,"76,267,253,756",,,,,,
The PAN Group JSC and its subsidiaries,The PAN Group JSC and its subsidiaries,The PAN Group JSC and its subsidiaries,Revenue from consulting contracts,-,"165,000,000","(165,000,000)",-,"150,000,000",,,,,,
The PAN Group JSC and its subsidiaries,The PAN Group JSC and its subsidiaries,The PAN Group JSC and its subsidiaries,Advance for consulting contract,"(100,000,000)","100,000,000",-,-,"90,909,091",,,,,,
The PAN Group JSC and its subsidiaries,The PAN Group JSC and its subsidiaries,The PAN Group JSC and its subsidiaries,Deposit on management contracts and other Interest payable on deposit management contracts and other Purchases goods and services,"(265,687,615,517)",-,"265,687,615,517",-,-,,,,,,
The PAN Group JSC and its subsidiaries,The PAN Group JSC and its subsidiaries,The PAN Group JSC and its subsidiaries,Deposit on management contracts and other Interest payable on deposit management contracts and other Purchases goods and services,"(4,011,664,815)","(759,623,107)","4,771,287,922",-,"(759,623,107)",,,,,,
The PAN Group JSC and its subsidiaries,The PAN Group JSC and its subsidiaries > The PAN Group JSC and its subsidiaries,The PAN Group JSC and its subsidiaries,Deposit on management contracts and other Interest payable on deposit management contracts and other Purchases goods and services,"(281,594)","(153,580,136)","153,861,730",-,"(153,580,136)",,-281.594,,,,
The PAN Group JSC and its subsidiaries,The PAN Group JSC and its subsidiaries,The PAN Group JSC and its subsidiaries,Purchases of securities and certificates of deposit,-,"(32,011,070,781,303)","32,011,070,781,303",-,-,,,,,,
The PAN Group JSC and its subsidiaries,The PAN Group JSC and its subsidiaries,The PAN Group JSC and its subsidiaries,Capital contribution under the equity method,"604,345,389,457","66,364,894,356","(28,729,090,890)","641,981,192,923","66,364,894,356",,,,,,
The PAN Group JSC and its subsidiaries,The PAN Group JSC and its subsidiaries,The PAN Group JSC and its subsidiaries,Interest receivables on bonds,"4,966,575,342","65,854,137,367","(64,887,342,846)","5,933,369,863","55,677,150,822",,,,,,
The PAN Group JSC and its subsidiaries,The PAN Group JSC and its subsidiaries,The PAN Group JSC and its subsidiaries,Revenue from securities transaction and other securities services,-,"3,684,500,593","(3,684,500,593)",-,"3,684,500,593",,,,,,
The PAN Group JSC and its subsidiaries,The PAN Group JSC and its subsidiaries,The PAN Group JSC and its subsidiaries,Other revenue,-,"17,468,163,324","(17,468,163,324)",-,"17,468,163,324",,,,,,
The PAN Group JSC and its subsidiaries,The PAN Group JSC and its subsidiaries,The PAN Group JSC and its subsidiaries,Advance on securities purchase contracts,-,"1,570,791,846,833","(1,570,791,846,833)",-,-,,,,,,
The PAN Group JSC and its subsidiaries,The PAN Group JSC and its subsidiaries,The PAN Group JSC and its subsidiaries,Dividend receivables,-,"13,291,396,500","(13,291,396,500)",-,-,,,,,,
