row_label_raw,row_label_full,col_0,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất_1,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Bảng cân đối kế toán hợp nhất,numeric__Bảng cân đối kế toán hợp nhất_1,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,,,,
Lợi nhuận chưa thực hiện,Tài sản thuế thu nhập hoãn lại > Lợi nhuận chưa thực hiện,Lợi nhuận chưa thực hiện,5.304.979.531,8.983.852.563,(3.678.873.032),5.511.115.252,5304979531.0,8983852563.0,-3678873032.0,5511115252.0
Lỗ năm trước chuyển sang của các công ty con,Tài sản thuế thu nhập hoãn lại > Lỗ năm trước chuyển sang của các công ty con,Lỗ năm trước chuyển sang của các công ty con,12.234.726.716,10.614.114.491,1.620.612.225,10.614.114.491,12234726716.0,10614114491.0,1620612225.0,10614114491.0
Dự phòng trợ cấp thời việc,Tài sản thuế thu nhập hoãn lại > Dự phòng trợ cấp thời việc,Dự phòng trợ cấp thời việc,4.010.340.467,3.752.251.105,258.089.362,480.990.189,4010340467.0,3752251105.0,258089362.0,480990189.0
Dự phòng giảm giá hàng tồn kho,Tài sản thuế thu nhập hoãn lại > Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,1.584.582.834,47.155.490,1.537.427.344,-,1584582834.0,47155490.0,1537427344.0,
Chi phí phải trả ngắn hạn,Tài sản thuế thu nhập hoãn lại > Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,47.487.410,20.940.762,26.546.648,-,47487410.0,20940762.0,26546648.0,
"Chi phí công cụ, dụng cụ","Tài sản thuế thu nhập hoãn lại > Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ",-,(61.246.159),61.246.159,(22.973.882),,-61246159.0,61246159.0,-22973882.0
Dự phòng nợ phải thu ngắn hạn khó đòi,Tài sản thuế thu nhập hoãn lại > Dự phòng nợ phải thu ngắn hạn khó đòi,Dự phòng nợ phải thu ngắn hạn khó đòi,-,-,-,(307.119.321),,,,-307119321.0
,,,23.182.116.958,23.357.068.252,(174.951.294),16.276.126.729,23182116958.0,23357068252.0,-174951294.0,16276126729.0
