row_label_raw,row_label_full,Số đầu năm > Dự phòng trích lập trong năm > Hoàn nhập dự phòng trong năm,Năm nay > (91.707.756.794) > (132.018.100.810) > 41.253.671.192,VNDNăm trước > (156.312.420.201) > (113.499.348.593) > 146.730.667.949,numeric__Năm nay > (91.707.756.794) > (132.018.100.810) > 41.253.671.192,numeric__VNDNăm trước > (156.312.420.201) > (113.499.348.593) > 146.730.667.949
Xóa số dự phòng đã trích lập,Xóa số dự phòng đã trích lập,Xóa số dự phòng đã trích lập,-,31.373.344.051,,31373344051.0
Số cuối năm,Số cuối năm,Số cuối năm,(182.472.186.412),(91.707.756.794),-182472186412.0,-91707756794.0
