row_label_raw,row_label_full,Chi phí thuế TNDN hiện hànhĐiều chỉnh thuế TNDN trích thiềutrong những năm trước,Năm nay > 98.862.685.931 > 118.752.023,VNDNăm trước > 36.260.738.939 > 1.047.566.688,numeric__Năm nay > 98.862.685.931 > 118.752.023,numeric__VNDNăm trước > 36.260.738.939 > 1.047.566.688
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,48.277.443.972,322.960.454,48277443972.0,322960454.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,147.258.881.926,37.631.266.081,147258881926.0,37631266081.0
