row_label_raw,row_label_full,Số đầu năm > Dự phòng trích lập trong năm,Năm nay > (5.672.325.677) > (25.548.793.152),VNDNăm trước > (15.387.048.311) > (3.187.687.771),numeric__Năm nay > (5.672.325.677) > (25.548.793.152),numeric__VNDNăm trước > (15.387.048.311) > (3.187.687.771)
Xóa số dự phòng đã trích lập,Xóa số dự phòng đã trích lập,Xóa số dự phòng đã trích lập,3.323.316.094,12.416.689.791,3323316094.0,12416689791.0
Hoàn nhập dự phòng trong năm,Hoàn nhập dự phòng trong năm,Hoàn nhập dự phòng trong năm,-,485.720.614,,485720614.0
Số cuối năm,Số cuối năm,Số cuối năm,(27.897.802.735),(5.672.325.677),-27897802735.0,-5672325677.0
