row_label_raw,row_label_full,col_0,Giá trị hợp lýđược xác định tạm thờighi nhận tại ngày mua,numeric__Giá trị hợp lýđược xác định tạm thờighi nhận tại ngày mua
,,,VND,
Tài sản,Tài sản,Tài sản,Tài sản,
Tiền,Tài sản > Tiền,Tiền,8.229.048.304,8229048304.0
Thuế giá trị gia tăng được khấu trừ,Tài sản > Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,757.125.996,757125996.0
Phải thu ngắn hạn khác,Tài sản > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,35.000.000.000,35000000000.0
Hàng tồn kho,Tài sản > Hàng tồn kho,Hàng tồn kho,16.363.636.364,16363636364.0
Tài sản cố định hữu hình,Tài sản > Tài sản cố định hữu hình,Tài sản cố định hữu hình,314.267.703,314267703.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,
Phải trả ngắn hạn khác,Nợ phải trả > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,(9.090.909.091),-9090909091.0
Tổng tài sản thuần,Nợ phải trả > Tổng tài sản thuần,Tổng tài sản thuần,51.573.169.276,51573169276.0
Cổ đông không kiểm soát,Nợ phải trả > Cổ đông không kiểm soát,Cổ đông không kiểm soát,(592.317.849),-592317849.0
Lợi thế thương mại từ hợp nhất kinh doanh,Nợ phải trả > Lợi thế thương mại từ hợp nhất kinh doanh,Lợi thế thương mại từ hợp nhất kinh doanh,42.019.148.573,42019148573.0
Giá phí hợp nhất kinh doanh,Nợ phải trả > Giá phí hợp nhất kinh doanh,Giá phí hợp nhất kinh doanh,93.000.000.000,93000000000.0
