row_label_raw,row_label_full,col_0,Giá trị hợp lýđược xác định tạm thờighị nhận tại ngày mua,numeric__Giá trị hợp lýđược xác định tạm thờighị nhận tại ngày mua
,,,VND,
Tài sản,Tài sản,Tài sản,Tài sản,
Tiền,Tài sản > Tiền,Tiền,98.174.651.036,98174651036.0
Đầu tư tài chính ngắn hạn,Tài sản > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,20.247.000.000,20247000000.0
Các khoản phải thu ngắn hạn,Tài sản > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,18.085.799.234,18085799234.0
Hàng tồn kho,Tài sản > Hàng tồn kho,Hàng tồn kho,230.404.490.639,230404490639.0
Tài sản ngắn hạn khác,Tài sản > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,2.309.624.724,2309624724.0
Phải thu dài hạn khách hàng,Tài sản > Phải thu dài hạn khách hàng,Phải thu dài hạn khách hàng,17.965.473.631,17965473631.0
Tài sản cố định hữu hình,Tài sản > Tài sản cố định hữu hình,Tài sản cố định hữu hình,4.954.104.992,4954104992.0
Chi phí trả trước dài hạn,Tài sản > Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,1.241.076.967,1241076967.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,
Nợ ngắn hạn,Nợ phải trả > Nợ ngắn hạn,Nợ ngắn hạn,(193.055.034.907),-193055034907.0
Thuế thu nhập hoãn lại phải trả,Nợ phải trả > Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,(16.003.932.043),-16003932043.0
Tổng tài sản thuần,Nợ phải trả > Tổng tài sản thuần,Tổng tài sản thuần,184.323.254.273,184323254273.0
Cổ đông không kiểm soát,Nợ phải trả > Cổ đông không kiểm soát,Cổ đông không kiểm soát,(3.932.229.424),-3932229424.0
Phần tài sản thuần mua thêm,Nợ phải trả > Phần tài sản thuần mua thêm,Phần tài sản thuần mua thêm,180.391.024.849,180391024849.0
Giá trị khoản đầu tư đến trước ngày mua thêm,Nợ phải trả > Giá trị khoản đầu tư đến trước ngày mua thêm,Giá trị khoản đầu tư đến trước ngày mua thêm,(90.318.394.594),-90318394594.0
Lợi thế thương mại từ hợp nhất kinh doanh,Nợ phải trả > Lợi thế thương mại từ hợp nhất kinh doanh,Lợi thế thương mại từ hợp nhất kinh doanh,19.877.369.745,19877369745.0
Giá phí hợp nhất kinh doanh,Nợ phải trả > Giá phí hợp nhất kinh doanh,Giá phí hợp nhất kinh doanh,109.950.000.000,109950000000.0
