row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Khác,Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Khác,numeric__Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,4.950.924.600,7.525.826.443,1.216.005.358,13.692.756.401,4950924600.0,7525826443.0,1216005358.0,13692756401.0
Mua mới,Nguyên giá > Mua mới,Mua mới,35.289.328.240,1.500.611.760,-,36.789.940.000,35289328240.0,1500611760.0,,36789940000.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,40.240.252.840,9.026.438.203,1.216.005.358,50.482.696.401,40240252840.0,9026438203.0,1216005358.0,50482696401.0
Trong đó:Đã hao mòn hết,Nguyên giá > Trong đó:Đã hao mòn hết,Trong đó:Đã hao mòn hết,-,1.572.160.385,299.322.858,1.871.483.243,,1572160385.0,299322858.0,1871483243.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số đầu năm,Giá trị hao mòn lũy kế > Số đầu năm,Số đầu năm,-,(4.305.664.480),(669.445.746),(4.975.110.226),,-4305664480.0,-669445746.0,-4975110226.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,-,(1.118.663.687),(183.336.504),(1.302.000.191),,-1118663687.0,-183336504.0,-1302000191.0
Số cuối năm,Giá trị hao mòn lũy kế > Số cuối năm,Số cuối năm,-,(5.424.328.167),(852.782.250),(6.277.110.417),,-5424328167.0,-852782250.0,-6277110417.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,4.950.924.600,3.220.161.963,546.559.612,8.717.646.175,4950924600.0,3220161963.0,546559612.0,8717646175.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,40.240.252.840,3.602.110.036,363.223.108,44.205.585.984,40240252840.0,3602110036.0,363223108.0,44205585984.0
Trong đó:Tài sân sử dụng đểtheé chấp(Thuyết minh số 23.1),Giá trị còn lại > Trong đó:Tài sân sử dụng đểtheé chấp(Thuyết minh số 23.1),Trong đó:Tài sân sử dụng đểtheé chấp(Thuyết minh số 23.1),4.500.924.600,-,-,4.500.924.600,4500924600.0,,,4500924600.0
