row_label_raw,row_label_full,Người cho vay > Cá nhân,Số cuối năm(VND) > 5.866.222.481,Ngày đáo hạn > Từ ngày 27 tháng3 năm 2017 đếnngày 29 tháng 11năm 2017,"Lãi suất(%/năm) > 6,0 – 7,0",Chi tiết tài sảnđảm bảo > Tín chấp,numeric__Số cuối năm(VND) > 5.866.222.481,numeric__Ngày đáo hạn > Từ ngày 27 tháng3 năm 2017 đếnngày 29 tháng 11năm 2017,"numeric__Lãi suất(%/năm) > 6,0 – 7,0",numeric__Chi tiết tài sảnđảm bảo > Tín chấp
Nhân viên công ty,Nhân viên công ty,Nhân viên công ty,1.212.592.706,Không xác định,"7,0",Tín chấp,1212592706.0,,7.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,7.078.815.187,,,,7078815187.0,,,
