row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,Thiết bịvăn phòng,VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__VNDTổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,2.019.949.325,954.667.967.423,23.342.693.586,11.973.415.213,992.004.025.547,2019949325.0,954667967423.0,23342693586.0,11973415213.0,992004025547.0
Mua mới,Nguyên giá > Mua mới,Mua mới,1.796.454.160,514.433.660.699,10.858.676.501,2.127.700.015,529.216.491.375,1796454160.0,514433660699.0,10858676501.0,2127700015.0,529216491375.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,35.328.265.976,490.981.718,-,-,35.819.247.694,35328265976.0,490981718.0,,,35819247694.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(28.441.159.798),-,-,(28.441.159.798),,-28441159798.0,,,-28441159798.0
Tăng từ mua công ty con trong năm,Nguyên giá > Tăng từ mua công ty con trong năm,Tăng từ mua công ty con trong năm,5.752.196.809,804.545.455,1.065.436.364,-,7.622.178.628,5752196809.0,804545455.0,1065436364.0,,7622178628.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,44.896.866.270,1.441.955.995.497,35.266.806.451,14.101.115.228,1.536.220.783.446,44896866270.0,1441955995497.0,35266806451.0,14101115228.0,1536220783446.0
Trong đó:Đã khấu hao hết,Nguyên giá > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,355.162.273,32.991.325.221,4.174.367.188,-,37.520.854.682,355162273.0,32991325221.0,4174367188.0,,37520854682.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,
Số đầu năm,Giá trị khấu hao lũy kế > Số đầu năm,Số đầu năm,(1.334.280.129),(344.707.225.017),(10.545.643.716),(5.865.645.217),(362.452.794.079),-1334280129.0,-344707225017.0,-10545643716.0,-5865645217.0,-362452794079.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(3.917.029.395),(143.133.382.990),(2.837.981.088 ),(1.908.705.369),(151.797.098.842),-3917029395.0,-143133382990.0,,-1908705369.0,-151797098842.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,22.366.147.575,-,-,22.366.147.575,,22366147575.0,,,22366147575.0
Tăng từ mua công ty con trong năm,Giá trị khấu hao lũy kế > Tăng từ mua công ty con trong năm,Tăng từ mua công ty con trong năm,(1.334.876.065),(419.717.983),(554.914.750),-,(2.309.508.798),-1334876065.0,-419717983.0,-554914750.0,,-2309508798.0
Số cuối năm,Giá trị khấu hao lũy kế > Số cuối năm,Số cuối năm,(6.586.185.589),(465.894.178.415),(13.938.539.554 ),(7.774.350.586),(494.193.254.144),-6586185589.0,-465894178415.0,,-7774350586.0,-494193254144.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,685.669.196,609.960.742.406,12.797.049.870,6.107.769.996,629.551.231.468,685669196.0,609960742406.0,12797049870.0,6107769996.0,629551231468.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,38.310.680.681,976.061.817.082,21.328.266.897,6.326.764.642,1.042.027.529.302,38310680681.0,976061817082.0,21328266897.0,6326764642.0,1042027529302.0
Trong đó:Tài sản sử dụng để thế chấp(Thuyết minh số 23),Giá trị còn lại > Trong đó:Tài sản sử dụng để thế chấp(Thuyết minh số 23),Trong đó:Tài sản sử dụng để thế chấp(Thuyết minh số 23),177.946.093,194.125.384.131,-,-,194.303.330.224,177946093.0,194125384131.0,,,194303330224.0
