row_label_raw,row_label_full,Tên công ty,Địa điểm,Ngành nghề kinh doanh,Tỷ lệ sở hữu,Tỷ lệ sở hữu_1,Tỷ lệ biểu quyết,Tỷ lệ biểu quyết_1,numeric__Địa điểm,numeric__Ngành nghề kinh doanh,numeric__Tỷ lệ sở hữu,numeric__Tỷ lệ sở hữu_1,numeric__Tỷ lệ biểu quyết,numeric__Tỷ lệ biểu quyết_1
Tên công ty,Tên công ty,Tên công ty,Địa điểm,Ngành nghề kinh doanh,Số cuối năm(%),Số đầu năm(%),Số cuối năm(%),Số đầu năm(%),,,,,,
Công ty Cổ phần May Tiến Phát,Tên công ty > Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,Thành phố Hồ Chí Minh,Bất động sản và dịch vụ thương mại,"22,51","22,51","22,51","22,51",,,22.51,22.51,22.51,22.51
Công ty Cổ phần Đầu tư SVG,Tên công ty > Công ty Cổ phần Đầu tư SVG,Công ty Cổ phần Đầu tư SVG,Thành phố Hồ Chí Minh,Sản xuất và xây dựng,"50,00","50,00","49,89","49,89",,,50.0,50.0,49.89,49.89
