row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Quỹ đầu tưphát triển,Quỹ khác thuộcvốn chủ sở hữu,Lợi nhuận sauthuế chưa phân phối,Lợi ích của cổ đôngkhông kiểm soát,Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tưphát triển,numeric__Quỹ khác thuộcvốn chủ sở hữu,numeric__Lợi nhuận sauthuế chưa phân phối,numeric__Lợi ích của cổ đôngkhông kiểm soát,numeric__Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,3.663.563.030.000,333.257.781.211,150.121.777.502,24.890.292.522,661.111.130.027,199.947.783.731,5.032.891.794.993,3663563030000.0,333257781211.0,150121777502.0,24890292522.0,661111130027.0,199947783731.0,5032891794993.0
Lợi nhuận thuần trongnăm,Lợi nhuận thuần trongnăm,Lợi nhuận thuần trongnăm,-,-,-,-,50.165.262.336(6.435.551.893),5.917.568.067-,56.082.830.403-,,,,,,,
Trích quỹ đầu tư phát triển,Lợi nhuận thuần trongnăm > Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,6.435.551.893,-,50.165.262.336(6.435.551.893),5.917.568.067-,56.082.830.403-,,,6435551893.0,,,,
"Trích quỹ khen thưởng,phúc lợi","Lợi nhuận thuần trongnăm > Trích quỹ khen thưởng,phúc lợi","Trích quỹ khen thưởng,phúc lợi",-,-,-,-,(18.002.120.370),-,(18.002.120.370),,,,,-18002120370.0,,-18002120370.0
Thay đổi tỷ lệ sở hữucông ty con,Thay đổi tỷ lệ sở hữucông ty con,Thay đổi tỷ lệ sở hữucông ty con,-,-,-,-,(14.592.597)(293.054.720.000),14.592.597(542.201.898),- (696.201.898)(2.250.000.000),,,,,,,
Chia cổ tức bằng cổ phiếu,Thay đổi tỷ lệ sở hữucông ty con > Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,293.054.720.000,(154.000.000),-,-,(14.592.597)(293.054.720.000),14.592.597(542.201.898),- (696.201.898)(2.250.000.000),293054720000.0,-154000000.0,,,,,
Chi hoạt động của HĐQT,Thay đổi tỷ lệ sở hữucông ty con > Chi hoạt động của HĐQT,Chi hoạt động của HĐQT,-,-,-,-,(2.250.000.000),-,- (696.201.898)(2.250.000.000),,,,,-2250000000.0,,
Số cuối năm,Thay đổi tỷ lệ sở hữucông ty con > Số cuối năm,Số cuối năm,3.956.617.750.000,333.103.781.211,156.557.329.395,24.890.292.522,391.519.407.503,205.337.742.497,5.068.026.303.128,3956617750000.0,333103781211.0,156557329395.0,24890292522.0,391519407503.0,205337742497.0,5068026303128.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,3.956.617.750.000,333.103.781.211,156.557.329.395,24.890.292.522,391.519.407.503,205.337.742.497,5.068.026.303.128,3956617750000.0,333103781211.0,156557329395.0,24890292522.0,391519407503.0,205337742497.0,5068026303128.0
Lợi nhuận thuầntrong năm,Năm nay > Lợi nhuận thuầntrong năm,Lợi nhuận thuầntrong năm,-,-,-,-,8.718.697.546,6.703.682.780,8.718.697.546,,,,,8718697546.0,6703682780.0,8718697546.0
Cổ tức chia cho cổ đôngkhông kiểm soát,Năm nay > Cổ tức chia cho cổ đôngkhông kiểm soát,Cổ tức chia cho cổ đôngkhông kiểm soát,-,-,-,-,-,(148.081.800),(148.081.800),,,,,,-148081800.0,-148081800.0
Thay đổi tỷ lệ sởhữu công ty con(Thuyết minh số 4),Năm nay > Thay đổi tỷ lệ sởhữu công ty con(Thuyết minh số 4),Thay đổi tỷ lệ sởhữu công ty con(Thuyết minh số 4),-,-,-,-,5.814.157.854,36.035.842.146,41.850.000.000,,,,,5814157854.0,36035842146.0,41850000000.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,3.956.617.750.000,333.103.781.211,156.557.329.395,24.890.292.522,406.052.262.903,247.929.185.623,5.125.150.601.654,3956617750000.0,333103781211.0,156557329395.0,24890292522.0,406052262903.0,247929185623.0,5125150601654.0
