row_label_raw,row_label_full,col_0,Máy móc thiết bị,Phương tiện vận chuyển,Thiết bị văn phòng,VND Tổng cộng,numeric__Máy móc thiết bị,numeric__Phương tiện vận chuyển,numeric__Thiết bị văn phòng,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,609.024.990,1.160.045.454,12.432.707.854,14.201.778.298,609024990.0,1160045454.0,12432707854.0,14201778298.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,-,56.280.000,56.280.000,,,56280000.0,56280000.0
Thanh lý trong năm,Nguyên giá: > Thanh lý trong năm,Thanh lý trong năm,-,-,(425.034.000),(425.034.000),,,-425034000.0,-425034000.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,609.024.990,1.160.045.454,12.063.953.854,13.833.024.298,609024990.0,1160045454.0,12063953854.0,13833024298.0
Trong đó: Đã khấu hao hết,Nguyên giá: > Trong đó: Đã khấu hao hết,Trong đó: Đã khấu hao hết,609.024.990,-,11.438.611.490,12.047.636.480,609024990.0,,11438611490.0,12047636480.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,609.024.990,854.187.473,11.450.513.359,12.913.725.822,609024990.0,854187473.0,11450513359.0,12913725822.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,-,184.452.033,704.053.840,888.505.873,,184452033.0,704053840.0,888505873.0
Thanh lý,Giá trị khấu hao lũy kế: > Thanh lý,Thanh lý,-,-,(425.034.000),(425.034.000),,,-425034000.0,-425034000.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,609.024.990,1.038.639.506,11.729.533.199,13.377.197.695,609024990.0,1038639506.0,11729533199.0,13377197695.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,-,305.857.981,982.194.495,1.288.052.476,,305857981.0,982194495.0,1288052476.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,-,121.405.948,334.420.655,455.826.603,,121405948.0,334420655.0,455826603.0
