row_label_raw,row_label_full,Cho vay các bên liên quan(Thuyết minh số 34),Số cuối năm > 986.184.000.000,VND Số đầu năm > 1.155.353.634.246,numeric__Số cuối năm > 986.184.000.000,numeric__VND Số đầu năm > 1.155.353.634.246
Cho vay các bên khác (i),Cho vay các bên khác (i),Cho vay các bên khác (i),300.846.494.445,291.570.694.445,300846494445.0,291570694445.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.287.030.494.445,1.446.924.328.691,1287030494445.0,1446924328691.0
