row_label_raw,row_label_full,STT,Tên công ty,Hoạt động chính,Địa điểm,Tỷ lệ sở hữu,Tỷ lệ sở hữu_1,Tỷ lệ biểu quyết,Tỷ lệ biểu quyết_1,numeric__Tên công ty,numeric__Hoạt động chính,numeric__Địa điểm,numeric__Tỷ lệ sở hữu,numeric__Tỷ lệ sở hữu_1,numeric__Tỷ lệ biểu quyết,numeric__Tỷ lệ biểu quyết_1
STT,STT,STT,Tên công ty,Hoạt động chính,Địa điểm,Số cuối năm(%),Số đầu năm(%),Số cuối năm(%),Số đầu năm(%),,,,,,,
1,STT > 1,1,Công ty Cổ phần Mai Lan (Thuyết minh số 4.2),Dịch vụ,Thành phốHồ Chí Minh,"65,20","90,17","65,20","90,17",,,,65.2,90.17,65.2,90.17
2,STT > 2,2,Công ty TNHH Thương Tín – CJ Cầu Tre,Dịch vụ,Thành phốHồ Chí Minh,"74,00","74,00","74,00","74,00",,,,74.0,74.0,74.0,74.0
3,STT > 3,3,Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Kinh doanhbất động sản,Thành phốHồ Chí Minh,"100,00","100,00","100,00","100,00",,,,100.0,100.0,100.0,100.0
4,STT > 4,4,Công ty TNHH Dịch vụ Quản lý Bắt động sản Sài Gòn Thương Tín (Thuyết minh số 4.1),Kinh doanhbất động sản,Thành phốHồ Chí Minh,"94,44","50,00","94,44","50,00",,,,94.44,50.0,94.44,50.0
5,STT > 5,5,Công ty Cổ phần Đầu tư Phát triển Bắt động sản Đông Sài Gòn,Kinh doanhbất động sản,Thành phốHồ Chí Minh,"100,00","100,00","100,00","100,00",,,,100.0,100.0,100.0,100.0
6,STT > 6,6,Công ty Cổ phần Đầu tư Kinh doanh Bắt động sản Hùng Anh Năm,Kinh doanhbất động sản,Thành phốHồ Chí Minh,"99,99","99,99","100,00","100,00",,,,99.99,99.99,100.0,100.0
7,STT > 7,7,Công ty TNHH MTV Đầu tư Bắt động sản TTC Land Phú Quốc,Kinh doanhbất động sản,Kiên Giang,"100,00","100,00","100,00","100,00",,,,100.0,100.0,100.0,100.0
8,STT > 8,8,Công ty Cổ phần Đầu tư Bắt động sản TTC Land Hưng Điền,Kinh doanhbất động sản,Thành phốHồ Chí Minh,"61,00","61,00","61,00","61,00",,,,61.0,61.0,61.0,61.0
9,STT > 9,9,Công ty TNHH MTV TTC Land Retail Management,Kinh doanhbất động sản,Thành phốHồ Chí Minh,"100,00","100,00","100,00","100,00",,,,100.0,100.0,100.0,100.0
10,STT > 10,10,Công ty Cổ phần Thương Tín Tàu Cuốc,Kinh doanhbất động sản và xây dựng,Thành phốHồ Chí Minh,"99,90","99,90","99,90","99,90",,,,99.9,99.9,99.9,99.9
11,STT > 11,11,Công ty Cổ phần Thương mại Nguyễn Kim Đà Nẵng,Kinh doanh bấtdộng sản và dịch vụ,Đà Nẵng,"99,84","99,84","99,85","99,85",,,,99.84,99.84,99.85,99.85
