row_label_raw,row_label_full,col_0,Số đầu năm,Tăng trong năm,Giảm trong năm,Phân loại lại,VND Số cuối năm,numeric__Số đầu năm,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__Phân loại lại,numeric__VND Số cuối năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,1.071.405.932.293,1.186.117.092.725,(1.165.142.172.070),524.738.387.770,1.617.119.240.718,1071405932293.0,1186117092725.0,-1165142172070.0,524738387770.0,1617119240718.0
Vay cá nhân và tổ chức(Thuyết minh số 25.3),Vay cá nhân và tổ chức(Thuyết minh số 25.3),Vay cá nhân và tổ chức(Thuyết minh số 25.3),511.575.217.060,677.157.402.708,(402.044.193.481),-,786.688.426.287,511575217060.0,677157402708.0,-402044193481.0,,786688426287.0
Vay ngân hàng(Thuyết minh số 25.1),Vay ngân hàng(Thuyết minh số 25.1),Vay ngân hàng(Thuyết minh số 25.1),238.063.553.752,508.959.690.017,(442.648.764.330),-,304.374.479.439,238063553752.0,508959690017.0,-442648764330.0,,304374479439.0
Vay dài hạn ngân hàng đến hạn trả(Thuyết minh số 25.2),Vay dài hạn ngân hàng đến hạn trả(Thuyết minh số 25.2),Vay dài hạn ngân hàng đến hạn trả(Thuyết minh số 25.2),320.973.288.324,-,(319.161.747.555),523.379.105.408,525.190.646.177,320973288324.0,,-319161747555.0,523379105408.0,525190646177.0
Nợ thuê tài chính dài hạn đến hạn trả(Thuyết minh số 25.4),Nợ thuê tài chính dài hạn đến hạn trả(Thuyết minh số 25.4),Nợ thuê tài chính dài hạn đến hạn trả(Thuyết minh số 25.4),793.873.157,-,(1.287.466.704),1.359.282.362,865.688.815,793873157.0,,-1287466704.0,1359282362.0,865688815.0
Dài hạn,Dài hạn,Dài hạn,837.942.360.870,1.069.601.247.202,(6.115.384.608),(524.738.387.770),1.376.689.835.694,837942360870.0,1069601247202.0,-6115384608.0,-524738387770.0,1376689835694.0
Vay ngân hàng(Thuyết minh số 25.2),Vay ngân hàng(Thuyết minh số 25.2),Vay ngân hàng(Thuyết minh số 25.2),836.418.545.193,1.069.601.247.202,(6.115.384.608),(523.379.105.408),1.376.525.302.379,836418545193.0,1069601247202.0,-6115384608.0,-523379105408.0,1376525302379.0
Nợ thuê tài chính dài hạn,Nợ thuê tài chính dài hạn,Nợ thuê tài chính dài hạn,1.523.815.677,-,-,(1.359.282.362),164.533.315,1523815677.0,,,-1359282362.0,164533315.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.909.348.293.163,2.255.718.339.927,(1.171.257.556.678),-,2.993.809.076.412,1909348293163.0,2255718339927.0,-1171257556678.0,,2993809076412.0
Trong đó:Vay từ bên khác,Trong đó:Vay từ bên khác,Trong đó:Vay từ bên khác,1.831.801.793.163,,,,2.704.442.576.412,1831801793163.0,,,,2704442576412.0
Vay từ bên liên quan(Thuyết minh số 34),Vay từ bên liên quan(Thuyết minh số 34),Vay từ bên liên quan(Thuyết minh số 34),77.546.500.000,,,,289.366.500.000,77546500000.0,,,,289366500000.0
