row_label_raw,row_label_full,Bà Huỳnh Bích Ngọc,Chủ tịch,numeric__Chủ tịch
Ông Đặng Hồng Anh,Ông Đặng Hồng Anh,Ông Đặng Hồng Anh,Phó Chủ tịch,
Ông Võ Quốc Khánh,Ông Võ Quốc Khánh,Ông Võ Quốc Khánh,Thành viên,
Bà Trần Diệp Phương Nhi,Bà Trần Diệp Phương Nhi,Bà Trần Diệp Phương Nhi,Thành viên,
Ông Nguyễn Thành Chương,Ông Nguyễn Thành Chương,Ông Nguyễn Thành Chương,Thành viên độc lập,
Ông Hoàng Mạnh Tiến,Ông Hoàng Mạnh Tiến,Ông Hoàng Mạnh Tiến,Thành viên độc lập,
