row_label_raw,row_label_full,Số đầu năm > Giảm trong năm,132.122.030.907 > (48.016.800.000),numeric__132.122.030.907 > (48.016.800.000)
Khác,Khác,Khác,378.000.000,378000000.0
Số cuối năm,Số cuối năm,Số cuối năm,84.483.230.907,84483230907.0
