row_label_raw,row_label_full,col_0,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất_1,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Bảng cân đối kế toán hợp nhất,numeric__Bảng cân đối kế toán hợp nhất_1,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,,,,
Chi phí phát hành trải phiếu,Tài sản thuế thu nhập hoãn lại > Chi phí phát hành trải phiếu,Chi phí phát hành trải phiếu,-,2.520.303.014,(2.520.303.014),-,,2520303014.0,-2520303014.0,
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,,,,
Lợi nhuận chưa thực hiện,Thuế thu nhập hoãn lại phải trả > Lợi nhuận chưa thực hiện,Lợi nhuận chưa thực hiện,25.746.204.801,20.622.838.469,5.123.366.332,(1.080.312.037),25746204801.0,20622838469.0,5123366332.0,-1080312037.0
Dự phòng giảm giá đầu tư vào các công ty con và các công ty liên kết,Thuế thu nhập hoãn lại phải trả > Dự phòng giảm giá đầu tư vào các công ty con và các công ty liên kết,Dự phòng giảm giá đầu tư vào các công ty con và các công ty liên kết,(10.190.181.907),(12.017.710.311),1.827.528.403,7.677.942.281,-10190181907.0,-12017710311.0,1827528403.0,7677942281.0
Chênh lệch giá trị hợp lý trong hợp nhất kinh doanh,Thuế thu nhập hoãn lại phải trả > Chênh lệch giá trị hợp lý trong hợp nhất kinh doanh,Chênh lệch giá trị hợp lý trong hợp nhất kinh doanh,(101.161.030.113),(101.161.030.113),-,-,-101161030113.0,-101161030113.0,,
Lỗ có thể sử dụng để bù trừ với thu nhập chịu thuế trong tương lai (Thuyết minh số 33.4),Thuế thu nhập hoãn lại phải trả > Lỗ có thể sử dụng để bù trừ với thu nhập chịu thuế trong tương lai (Thuyết minh số 33.4),Lỗ có thể sử dụng để bù trừ với thu nhập chịu thuế trong tương lai (Thuyết minh số 33.4),5.064.496.052,-,5.064.496.052,-,5064496052.0,,5064496052.0,
,,,(80.540.511.167),(92.555.901.955),,,-80540511167.0,-92555901955.0,,
Thuế TNDN hoãn lại phải trả thuần,Thuế thu nhập hoãn lại phải trả > Thuế TNDN hoãn lại phải trả thuần,Thuế TNDN hoãn lại phải trả thuần,(80.540.511.167),(90.035.598.941),,,-80540511167.0,-90035598941.0,,
Thu nhập thuế TNDN hoãn lại tính vào kết quả kinh doanh hợp nhất,Thuế thu nhập hoãn lại phải trả > Thu nhập thuế TNDN hoãn lại tính vào kết quả kinh doanh hợp nhất,Thu nhập thuế TNDN hoãn lại tính vào kết quả kinh doanh hợp nhất,Thu nhập thuế TNDN hoãn lại tính vào kết quả kinh doanh hợp nhất,Thu nhập thuế TNDN hoãn lại tính vào kết quả kinh doanh hợp nhất,9.495.087.773,6.597.630.244,,,9495087773.0,6597630244.0
