row_label_raw,row_label_full,Đầu tư vào công ty liên kết (Thuyết minh số 17.1) > Đầu tư vào đơn vị khác (Thuyết minh số 17.2) > Đầu tư nằm giữ đến ngày đáo hạn(Thuyết minh số 17.3),Số cuối năm > 73.723.289.985 > 768.702.387.584 > 6.063.617.200,VND Số đầu năm > 116.481.688.431 > 883.702.387.584 > 5.000.000.000,numeric__Số cuối năm > 73.723.289.985 > 768.702.387.584 > 6.063.617.200,numeric__VND Số đầu năm > 116.481.688.431 > 883.702.387.584 > 5.000.000.000
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,848.489.294.769,1.005.184.076.015,848489294769.0,1005184076015.0
Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,(773.618.368),(659.775.391),-773618368.0,-659775391.0
GIÁ TRI THUẢN,GIÁ TRI THUẢN,GIÁ TRI THUẢN,847.715.676.401,1.004.524.300.624,847715676401.0,1004524300624.0
