row_label_raw,row_label_full,Bên cho vay,Số cuối nămVND,Số đầu nămVND,numeric__Số cuối nămVND,numeric__Số đầu nămVND
Các cá nhân,Các cá nhân,Các cá nhân,458.988.426.287,354.669.058.406,458988426287.0,354669058406.0
Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,272.700.000.000,58.700.000.000,272700000000.0,58700000000.0
Công ty Cổ phần Khu Công nghiệp,Công ty Cổ phần Khu Công nghiệp,Công ty Cổ phần Khu Công nghiệp,,,,
Thành Thành Công,Công ty Cổ phần Khu Công nghiệp > Thành Thành Công,Thành Thành Công,50.000.000.000,-,50000000000.0,
Công ty Cổ phần Thành Thành Nam,Công ty Cổ phần Khu Công nghiệp > Công ty Cổ phần Thành Thành Nam,Công ty Cổ phần Thành Thành Nam,5.000.000.000,5.000.000.000,5000000000.0,5000000000.0
Công ty Cổ phần Thương mại Xây dựng Dịch vụ,Công ty Cổ phần Thương mại Xây dựng Dịch vụ,Công ty Cổ phần Thương mại Xây dựng Dịch vụ,,,,
Phúc Bảo Minh,Công ty Cổ phần Thương mại Xây dựng Dịch vụ > Phúc Bảo Minh,Phúc Bảo Minh,-,48.640.000.000,,48640000000.0
Công ty TNHH Chứng Khoán Mirae Asset,Công ty Cổ phần Thương mại Xây dựng Dịch vụ > Công ty TNHH Chứng Khoán Mirae Asset,Công ty TNHH Chứng Khoán Mirae Asset,-,30.386.158.654,,30386158654.0
Công ty Đăng Huỳnh,Công ty Cổ phần Thương mại Xây dựng Dịch vụ > Công ty Đăng Huỳnh,Công ty Đăng Huỳnh,-,12.000.000.000,,12000000000.0
Công ty Cổ phần May Tiến Phát,Công ty Cổ phần Thương mại Xây dựng Dịch vụ > Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,-,2.180.000.000,,2180000000.0
TỔNG CỘNG,Công ty Cổ phần Thương mại Xây dựng Dịch vụ > TỔNG CỘNG,TỔNG CỘNG,786.688.426.287,511.575.217.060,786688426287.0,511575217060.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Vay từ bên khác,Trong đó: > Vay từ bên khác,Vay từ bên khác,442.321.926.287,429.028.717.060,442321926287.0,429028717060.0
Vay từ bên liên quan (Thuyết minh số 34),Trong đó: > Vay từ bên liên quan (Thuyết minh số 34),Vay từ bên liên quan (Thuyết minh số 34),344.366.500.000,82.546.500.000,344366500000.0,82546500000.0
