row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,209.629.895.999,20.968.619.616,230.598.515.615,209629895999.0,20968619616.0,230598515615.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,-,1.004.100.000,1.004.100.000,,1004100000.0,1004100000.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,209.629.895.999,21.972.719.616,231.602.615.615,209629895999.0,21972719616.0,231602615615.0
Trong đó: Đã hao mòn hết,Nguyên giá: > Trong đó: Đã hao mòn hết,Trong đó: Đã hao mòn hết,-,1.834.053.500,1.834.053.500,,1834053500.0,1834053500.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số đầu năm,Giá trị hao mòn lũy kế > Số đầu năm,Số đầu năm,22.312.034.453,9.508.720.606,31.820.755.059,22312034453.0,9508720606.0,31820755059.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,3.684.959.820,2.667.012.418,6.351.972.238,3684959820.0,2667012418.0,6351972238.0
Số cuối năm,Giá trị hao mòn lũy kế > Số cuối năm,Số cuối năm,25.996.994.273,12.175.733.024,38.172.727.397,25996994273.0,12175733024.0,38172727397.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,187.317.861.546,11.459.899.010,198.777.760.556,187317861546.0,11459899010.0,198777760556.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,183.632.901.726,9.796.986.592,193.429.888.318,183632901726.0,9796986592.0,193429888318.0
Trong đó: Tài sản sử dụng để thể chấp (Thuyết minh số 25),Giá trị còn lại: > Trong đó: Tài sản sử dụng để thể chấp (Thuyết minh số 25),Trong đó: Tài sản sử dụng để thể chấp (Thuyết minh số 25),90.175.781.818,-,90.175.781.818,90175781818.0,,90175781818.0
