row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,numeric__Mối quan hệ
Công ty Cổ phần Đầu tư SVG,Công ty Cổ phần Đầu tư SVG,Công ty Cổ phần Đầu tư SVG,Công ty liên kết,
Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,Công ty liên kết,
Công ty Cổ phần Đầu tư Xây dựng Long An - IDICO,Công ty Cổ phần Đầu tư Xây dựng Long An - IDICO,Công ty Cổ phần Đầu tư Xây dựng Long An - IDICO,Công ty liên kết,
Công ty Cổ phần Đầu tư Địa ốc Kim Thành,Công ty Cổ phần Đầu tư Địa ốc Kim Thành,Công ty Cổ phần Đầu tư Địa ốc Kim Thành,Công ty liên kết đến ngày11 tháng 8 năm 2022,
Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Cổ đông lớn,
Công ty Cổ phần Toàn Hải Vân,Công ty Cổ phần Toàn Hải Vân,Công ty Cổ phần Toàn Hải Vân,Công ty có cùngthành viên quản lý chủ chốt,
Bà Huỳnh Bích Ngọc,Bà Huỳnh Bích Ngọc,Bà Huỳnh Bích Ngọc,Chủ tịch HĐQT,
Bà Nguyễn Thủy Vân,Bà Nguyễn Thủy Vân,Bà Nguyễn Thủy Vân,Chủ tịch HĐQT đến ngày 25tháng 4 năm 2022,
Bà Phạm Thị Khuê,Bà Phạm Thị Khuê,Bà Phạm Thị Khuê,Phó Tổng Giám đốc đến ngày26 tháng 12 năm 2023,
Ông Võ Thanh Lâm,Ông Võ Thanh Lâm,Ông Võ Thanh Lâm,Phó Tổng Giám đốc từ ngày 5tháng 2 năm 2024,
Bà Đình Thị Ngọc Trang,Bà Đình Thị Ngọc Trang,Bà Đình Thị Ngọc Trang,Phó Tổng Giám đốc từ ngày 5tháng 3 năm 2024,
Công ty Cổ phần Thành Thành Nam,Công ty Cổ phần Thành Thành Nam,Công ty Cổ phần Thành Thành Nam,Công ty trong cùng Tập đoàn,
Công ty Cổ phần Khu công nghiệp Thành Thành Công,Công ty Cổ phần Khu công nghiệp Thành Thành Công,Công ty Cổ phần Khu công nghiệp Thành Thành Công,Công ty trong cùng Tập đoàn,
Công ty TNHH Du Lịch Thành Thành Công Lâm Đồng,Công ty TNHH Du Lịch Thành Thành Công Lâm Đồng,Công ty TNHH Du Lịch Thành Thành Công Lâm Đồng,Cùng cổ đông lớn,
Công ty Cổ phần Du lịch Thành Thành Công,Công ty Cổ phần Du lịch Thành Thành Công,Công ty Cổ phần Du lịch Thành Thành Công,Cùng cổ đông lớn,
Công ty TNHH Du Lịch TTC,Công ty TNHH Du Lịch TTC,Công ty TNHH Du Lịch TTC,Cùng cổ đông lớn,
