row_label_raw,row_label_full,col_0,Số cuối năm,numeric__Số cuối năm
,,,VND,
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,
Đối tượng không là bên liên quan,a. Ngắn hạn > Đối tượng không là bên liên quan,Đối tượng không là bên liên quan,152.418.794.984,152418794984.0
Công ty TNHH Kinh doanh và Dịch vụ Hòn Ngọc Việt,a. Ngắn hạn > Công ty TNHH Kinh doanh và Dịch vụ Hòn Ngọc Việt,Công ty TNHH Kinh doanh và Dịch vụ Hòn Ngọc Việt,68.995.858.986,68995858986.0
Công ty Cổ phần Đầu tư và Dịch vụ Thương mại Sunflower,a. Ngắn hạn > Công ty Cổ phần Đầu tư và Dịch vụ Thương mại Sunflower,Công ty Cổ phần Đầu tư và Dịch vụ Thương mại Sunflower,67.633.768.218,67633768218.0
Công ty TNHH Kiến Trúc Xây dựng Việt Mỹ,a. Ngắn hạn > Công ty TNHH Kiến Trúc Xây dựng Việt Mỹ,Công ty TNHH Kiến Trúc Xây dựng Việt Mỹ,15.605.540.246,15605540246.0
Công ty TNHH Đầu tư Xây dựng và Kinh doanh Thương mại Hoàng An,a. Ngắn hạn > Công ty TNHH Đầu tư Xây dựng và Kinh doanh Thương mại Hoàng An,Công ty TNHH Đầu tư Xây dựng và Kinh doanh Thương mại Hoàng An,183.627.534,183627534.0
Đối tượng là bên liên quan,a. Ngắn hạn > Đối tượng là bên liên quan,Đối tượng là bên liên quan,38.557.053.917,38557053917.0
Công ty TNHH Kinh doanh Dịch vụ Tài Phát,a. Ngắn hạn > Công ty TNHH Kinh doanh Dịch vụ Tài Phát,Công ty TNHH Kinh doanh Dịch vụ Tài Phát,38.557.053.917,38557053917.0
,,,190.975.848.901,190975848901.0
b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,
Đối tượng không là bên liên quan,b. Dài hạn > Đối tượng không là bên liên quan,Đối tượng không là bên liên quan,494.729.222.842,494729222842.0
Công ty TNHH Thiết kế Kiến trúc Hoàn Mỹ,b. Dài hạn > Công ty TNHH Thiết kế Kiến trúc Hoàn Mỹ,Công ty TNHH Thiết kế Kiến trúc Hoàn Mỹ,249.990.000.000,249990000000.0
Công ty TNHH Kinh doanh Thương mại Hùng Cường,b. Dài hạn > Công ty TNHH Kinh doanh Thương mại Hùng Cường,Công ty TNHH Kinh doanh Thương mại Hùng Cường,244.739.222.842,244739222842.0
Đối tượng là bên liên quan,b. Dài hạn > Đối tượng là bên liên quan,Đối tượng là bên liên quan,515.544.476.713,515544476713.0
Công ty Cổ phần Marina 3,b. Dài hạn > Công ty Cổ phần Marina 3,Công ty Cổ phần Marina 3,515.544.476.713,515544476713.0
,,,1.010.273.699.555,1010273699555.0
