row_label_raw,row_label_full,col_0,Số đầu năm,Số đầu năm_1,Số đầu năm_2,Trong năm,Trong năm_1,Số cuối năm,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Số đầu năm_2,numeric__Trong năm,numeric__Trong năm_1,numeric__Số cuối năm
,,,VND,VND,VND,VND,VND,VND,,,,,,
,,,Giá trị/ Số có khả năng trả nợ,Tăng do hợp nhất kinh doanh,Tăng,Giảm,Giảm,Giá trị/ Số có khả năng trả nợ,,,,,,
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,524.242.008.742,3.281.000.000,1.073.475.000.000,1.179.542.008.742,1.179.542.008.742,421.456.000.000,524242008742.0,3281000000.0,1073475000000.0,1179542008742.0,1179542008742.0,421456000000.0
Vay từ bên không liên quan,Vay từ bên không liên quan,Vay từ bên không liên quan,524.242.008.742,-,1.073.475.000.000,1.179.542.008.742,1.179.542.008.742,418.175.000.000,524242008742.0,,1073475000000.0,1179542008742.0,1179542008742.0,418175000000.0
Công ty TNHH Đầu Tư River City 2 (i),Công ty TNHH Đầu Tư River City 2 (i),Công ty TNHH Đầu Tư River City 2 (i),-,-,473.475.000.000,55.300.000.000,55.300.000.000,418.175.000.000,,,473475000000.0,55300000000.0,55300000000.0,418175000000.0
Công ty Cổ phần Kinh doanh Bất động sản,Công ty Cổ phần Kinh doanh Bất động sản,Công ty Cổ phần Kinh doanh Bất động sản,306.500.000.000,,-,306.500.000.000,306.500.000.000,-,306500000000.0,,,306500000000.0,306500000000.0,
Trường Minh,Trường Minh,Trường Minh,,-,,,,,,,,,,
Ngân hàng TMCP Việt Nam Thịnh Vượng,Trường Minh > Ngân hàng TMCP Việt Nam Thịnh Vượng,Ngân hàng TMCP Việt Nam Thịnh Vượng,217.742.008.742,-,-,217.742.008.742,217.742.008.742,-,217742008742.0,,,217742008742.0,217742008742.0,
Công ty TNHH Đầu tư và Kinh doanh BDS Việt Nam,Trường Minh > Công ty TNHH Đầu tư và Kinh doanh BDS Việt Nam,Công ty TNHH Đầu tư và Kinh doanh BDS Việt Nam,-,-,600.000.000.000,600.000.000.000,600.000.000.000,-,,,600000000000.0,600000000000.0,600000000000.0,
Vay từ bên liên quan,Trường Minh > Vay từ bên liên quan,Vay từ bên liên quan,-,3.281.000.000,-,-,-,3.281.000.000,,3281000000.0,,,,3281000000.0
Công ty TNHH Đầu tư và Kinh doanh BDS Đại Phát Lộc (ii),Trường Minh > Công ty TNHH Đầu tư và Kinh doanh BDS Đại Phát Lộc (ii),Công ty TNHH Đầu tư và Kinh doanh BDS Đại Phát Lộc (ii),-,3.281.000.000,-,-,-,3.281.000.000,,3281000000.0,,,,3281000000.0
Vay dài hạn đến hạn trả,Trường Minh > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,39.544.785.000,-,-,39.544.785.000,39.544.785.000,-,39544785000.0,,,39544785000.0,39544785000.0,
Ngân hàng TMCP Việt Nam Thịnh Vượng,Trường Minh > Ngân hàng TMCP Việt Nam Thịnh Vượng,Ngân hàng TMCP Việt Nam Thịnh Vượng,35.794.785.000,-,-,35.794.785.000,35.794.785.000,-,35794785000.0,,,35794785000.0,35794785000.0,
Ngân hàng Thương mại Cổ phần Công,Trường Minh > Ngân hàng Thương mại Cổ phần Công,Ngân hàng Thương mại Cổ phần Công,3.750.000.000,-,-,3.750.000.000,3.750.000.000,-,3750000000.0,,,3750000000.0,3750000000.0,
Thương Việt Nam,Thương Việt Nam,Thương Việt Nam,,,,,,,,,,,,
,,,563.786.793.742,3.281.000.000,1.073.475.000.000,1.219.086.793.742,1.219.086.793.742,421.456.000.000,563786793742.0,3281000000.0,1073475000000.0,1219086793742.0,1219086793742.0,421456000000.0
