row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Năm nay,Năm trước,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__Năm trước
,,,,VND,VND,,,
Doanh thu bán hàng và cung cấp dịch vụ(Thuyết minh số 29),Doanh thu bán hàng và cung cấp dịch vụ(Thuyết minh số 29),Doanh thu bán hàng và cung cấp dịch vụ(Thuyết minh số 29),,13.934.593.856,18.584.490.803,,13934593856.0,18584490803.0
Công ty Cổ phần Đầu tư KS Finance,Công ty Cổ phần Đầu tư KS Finance,Công ty Cổ phần Đầu tư KS Finance,Doanh thu cho thuê văn phòng,8.300.010.508,-,,8300010508.0,
Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Doanh thu cho thuê sản thương mại,2.629.982.463,-,,2629982463.0,
Công ty TNHH Cafe's Plus,Công ty TNHH Cafe's Plus,Công ty TNHH Cafe's Plus,Doanh thu cho thuê sản thương mại,283.628.027,-,,283628027.0,
Công ty Cổ phần Tập đoàn Sunshine Sài Gòn,Công ty Cổ phần Tập đoàn Sunshine Sài Gòn,Công ty Cổ phần Tập đoàn Sunshine Sài Gòn,Doanh thu cho thuê xe ô tô,774.242.423,763.636.364,,774242423.0,763636364.0
Công ty Cổ phần Sunshine Marina Nha Trang,Công ty Cổ phần Sunshine Marina Nha Trang,Công ty Cổ phần Sunshine Marina Nha Trang,Doanh thu cho thuê văn phòng,660.000.000,660.000.000,,660000000.0,660000000.0
Công ty Cổ phần Sunshine AM,Công ty Cổ phần Sunshine AM,Công ty Cổ phần Sunshine AM,Doanh thu cho thuê sản thương mại,439.924.800,2.451.740.800,,439924800.0,2451740800.0
Công ty Cổ phần Đầu tư và Công nghệ Vietnet,Công ty Cổ phần Đầu tư và Công nghệ Vietnet,Công ty Cổ phần Đầu tư và Công nghệ Vietnet,Doanh thu cho thuê mặt bằng,759.708.865,-,,759708865.0,
Công ty Cổ phần Quản lý và Vận hành S-Service,Công ty Cổ phần Quản lý và Vận hành S-Service,Công ty Cổ phần Quản lý và Vận hành S-Service,Doanh thu cho thuê căn hộ,87.096.771,-,,87096771.0,
Công ty Cổ phần Sao Ánh Dương,Công ty Cổ phần Sao Ánh Dương,Công ty Cổ phần Sao Ánh Dương,Doanh thu thực hiện dự án,Công ty con từ ngày 29/4/2022,14.709.113.639,,,14709113639.0
Mua hàng hóa và dịch vụ,Mua hàng hóa và dịch vụ,Mua hàng hóa và dịch vụ,,384.865.102.057,362.618.575.190,,384865102057.0,362618575190.0
Công ty Cổ phần Tập đoàn Sunshine,Công ty Cổ phần Tập đoàn Sunshine,Công ty Cổ phần Tập đoàn Sunshine,"Chi phí thi công xây dựng, phí thương hiệu, in lịch",199.907.141.977,243.943.329.441,,199907141977.0,243943329441.0
Công ty Cổ phần Chứng khoán KS,Công ty Cổ phần Chứng khoán KS,Công ty Cổ phần Chứng khoán KS,Chi phí liên quan đến phát hành trái phiếu,47.959.337.332,-,,47959337332.0,
Công ty Cổ phần KS Group,Công ty Cổ phần KS Group,Công ty Cổ phần KS Group,Chi phí liên quan đến phát hành trái phiếu,36.598.356.165,-,,36598356165.0,
Công ty Cổ phần Quản lý và Vận hành S-Service,Công ty Cổ phần Quản lý và Vận hành S-Service,Công ty Cổ phần Quản lý và Vận hành S-Service,Phí vận hành tòa nhà,33.443.909.835,27.435.047.651,,33443909835.0,27435047651.0
Công ty Cổ phần Đầu tư kinh doanh Bất động sản S-Homes,Công ty Cổ phần Đầu tư kinh doanh Bất động sản S-Homes,Công ty Cổ phần Đầu tư kinh doanh Bất động sản S-Homes,Chi phí thi công xây dựng dự án,26.570.051.886,31.334.296.364,,26570051886.0,31334296364.0
Công ty Cổ phần Đầu tư KS Finance,Công ty Cổ phần Đầu tư KS Finance,Công ty Cổ phần Đầu tư KS Finance,Phí dịch vụ tư vấn và môi giới trái phiếu,18.522.094.661,-,,18522094661.0,
Công ty Cổ phần Tập đoàn Xây dựng SCG,Công ty Cổ phần Tập đoàn Xây dựng SCG,Công ty Cổ phần Tập đoàn Xây dựng SCG,Chi phí thi công hoàn thiện dự án,3.273.916.565,32.332.179.091,,3273916565.0,32332179091.0
Công ty TNHH Đầu tư Giáo dục Phú Thương,Công ty TNHH Đầu tư Giáo dục Phú Thương,Công ty TNHH Đầu tư Giáo dục Phú Thương,Chi phí mua quả tặng khách hàng,3.150.000.000,5.850.000.000,,3150000000.0,5850000000.0
Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Chi phí mua quả tặng khách hàng và dịch vụ suất ăn,3.048.192.655,3.187.029.925,,3048192655.0,3187029925.0
Công ty Cổ phần Tập đoàn Công nghệ Unicloud,Công ty Cổ phần Tập đoàn Công nghệ Unicloud,Công ty Cổ phần Tập đoàn Công nghệ Unicloud,"Phí dịch vụ hoa hồng môi giới và lắp đặt thiết bị dự án, chi phí thuê xe",3.017.505.496,9.191.606.718,,3017505496.0,9191606718.0
Công ty TNHH Giáo dục Sunshine Maple Bear,Công ty TNHH Giáo dục Sunshine Maple Bear,Công ty TNHH Giáo dục Sunshine Maple Bear,Chi phí mua quả tặng khách hàng,2.215.545.500,1.400.000.000,,2215545500.0,1400000000.0
