row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A.,A.,A.,TÀI SẢN NGẮN HẠN,100,,7.866.453.353.138,4.743.269.209.727,,100.0,,7866453353138.0,4743269209727.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,5,155.102.298.088,168.620.224.209,,110.0,5.0,155102298088.0,168620224209.0
1.,1.,1.,Tiền,111,,125.102.298.088,168.620.224.209,,111.0,,125102298088.0,168620224209.0
2.,2.,2.,Các khoản tương đương tiền,112,,30.000.000.000,-,,112.0,,30000000000.0,
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,6,6.604.333.270,-,,120.0,6.0,6604333270.0,
1.,1.,1.,Đầu tư nằm giữ đến ngày đáo hạn,123,,6.604.333.270,-,,123.0,,6604333270.0,
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,5.778.288.946.126,3.385.115.383.083,,130.0,,5778288946126.0,3385115383083.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,7,258.987.530.114,193.286.824.797,,131.0,7.0,258987530114.0,193286824797.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,8,84.799.734.426,12.880.911.753,,132.0,8.0,84799734426.0,12880911753.0
3.,3.,3.,Phải thu về cho vay ngắn hạn,135,9,3.386.635.500.000,1.695.092.500.000,,135.0,9.0,3386635500000.0,1695092500000.0
4.,4.,4.,Phải thu ngắn hạn khác,136,10,2.052.845.774.635,1.483.855.146.533,,136.0,10.0,2052845774635.0,1483855146533.0
5.,5.,5.,Dự phòng phải thu ngắn hạn khó đòi,137,,(4.979.593.049),-,,137.0,,-4979593049.0,
IV.,IV.,IV.,Hàng tồn kho,140,11,1.820.331.152.127,1.146.388.288.208,,140.0,11.0,1820331152127.0,1146388288208.0
1.,1.,1.,Hàng tồn kho,141,,1.820.331.152.127,1.146.882.611.536,,141.0,,1820331152127.0,1146882611536.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,,-,(494.323.328),,149.0,,,-494323328.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,106.126.623.527,43.145.314.227,,150.0,,106126623527.0,43145314227.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,12,55.205.341.275,40.488.280.024,,151.0,12.0,55205341275.0,40488280024.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,30.576.239.870,-,,152.0,,30576239870.0,
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,20,20.345.042.382,2.657.034.203,,153.0,20.0,20345042382.0,2657034203.0
