row_label_raw,row_label_full,Mục đích phát hành > Đơn vị tư vấn phát hành: Công ty Cổ phần Chứng khoán KS,Mệnh giá trái phiếu (VND) > Đơn vị tư vấn phát hành: Công ty Cổ phần Chứng khoán KS,Phụ trội trái phiếu (VND) > Đơn vị tư vấn phát hành: Công ty Cổ phần Chứng khoán KS,Chỉ phí phát hành trái phiếu (VND) > Đơn vị tư vấn phát hành: Công ty Cổ phần Chứng khoán KS,Số cuối năm Lãi suất (VND) (năm) > Đơn vị tư vấn phát hành: Công ty Cổ phần Chứng khoán KS,Tài sản đảm bảo > Đơn vị tư vấn phát hành: Công ty Cổ phần Chứng khoán KS,Kỳ hạn > Đơn vị tư vấn phát hành: Công ty Cổ phần Chứng khoán KS,numeric__Mệnh giá trái phiếu (VND) > Đơn vị tư vấn phát hành: Công ty Cổ phần Chứng khoán KS,numeric__Phụ trội trái phiếu (VND) > Đơn vị tư vấn phát hành: Công ty Cổ phần Chứng khoán KS,numeric__Chỉ phí phát hành trái phiếu (VND) > Đơn vị tư vấn phát hành: Công ty Cổ phần Chứng khoán KS,numeric__Số cuối năm Lãi suất (VND) (năm) > Đơn vị tư vấn phát hành: Công ty Cổ phần Chứng khoán KS,numeric__Tài sản đảm bảo > Đơn vị tư vấn phát hành: Công ty Cổ phần Chứng khoán KS,numeric__Kỳ hạn > Đơn vị tư vấn phát hành: Công ty Cổ phần Chứng khoán KS
Gói 5,Gói 5,Gói 5,Gói 5,Gói 5,Gói 5,Gói 5,Gói 5,Gói 5,,,,,,
Hợp tác đầu tư với Công ty Cổ phần Bất động sản Fulland - bên liên quan của Công ty,Gói 5 > Hợp tác đầu tư với Công ty Cổ phần Bất động sản Fulland - bên liên quan của Công ty,Hợp tác đầu tư với Công ty Cổ phần Bất động sản Fulland - bên liên quan của Công ty,400.000.000.000,-,(1.872.339.001),398.127.660.999,"11% - 5 triệu cổ phần của Công ty Cổ phần Sunshine Sài Gòn - bên liên quan của Công ty cùng với các quyền, quyền lợi, lợi ích, cổ tức thuộc sở hữu của bên thứ 3 là các cá nhân nằm giữ.- Bảo lãnh thanh toán của Công ty Cổ phần Đầu tư Kinh doanh Bất động sản S-homes - bên liên quan của Công ty.","Kỳ hạn 5 năm, gốc trái phiếu được trả vào thời điểm đáo hạn là ngày 5/3/2026, lãi suất trái phiếu được trả định kỳ 3 tháng/lần",400000000000.0,,-1872339001.0,398127660999.0,,
