row_label_raw,row_label_full,col_0,Quyềnsử dụng đất,Phần mềmmáy tính,Tổng,numeric__Quyềnsử dụng đất,numeric__Phần mềmmáy tính,numeric__Tổng
,,,VND,VND,VND,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số dư đầu kỳ,NGUYÊN GIÁ > Số dư đầu kỳ,Số dư đầu kỳ,7.698.160.000,4.000.000.000,11.698.160.000,7698160000.0,4000000000.0,11698160000.0
Tăng do hợp nhất kinh doanh,NGUYÊN GIÁ > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,-,1.000.000.000,1.000.000.000,,1000000000.0,1000000000.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,7.698.160.000,5.000.000.000,12.698.160.000,7698160000.0,5000000000.0,12698160000.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,-,800.000.004,800.000.004,,800000004.0,800000004.0
Tăng do hợp nhất kinh doanh,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,-,266.666.667,266.666.667,,266666667.0,266666667.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,-,933.333.337,933.333.337,,933333337.0,933333337.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,-,2.000.000.008,2.000.000.008,,2000000008.0,2000000008.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,7.698.160.000,3.199.999.996,10.898.159.996,7698160000.0,3199999996.0,10898159996.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,7.698.160.000,2.999.999.992,10.698.159.992,7698160000.0,2999999992.0,10698159992.0
