row_label_raw,row_label_full,col_0,Số đầu năm > VNDGiá trị/Số có khả năng trả nợ,Số đầu năm > VNDTăng do hợp nhất kinh doanh,Số đầu năm > VNDTăng,Số đầu năm > VNDGiảm,Số cuối năm > VNDGiá trị/Số có khả năng trả nợ,numeric__Số đầu năm > VNDGiá trị/Số có khả năng trả nợ,numeric__Số đầu năm > VNDTăng do hợp nhất kinh doanh,numeric__Số đầu năm > VNDTăng,numeric__Số đầu năm > VNDGiảm,numeric__Số cuối năm > VNDGiá trị/Số có khả năng trả nợ
Vay dài hạn,Vay dài hạn,Vay dài hạn,170.544.785.000,-,242.500.000.000,192.144.785.000,220.900.000.000,170544785000.0,,242500000000.0,192144785000.0,220900000000.0
Vay từ bên liên quan,Vay từ bên liên quan,Vay từ bên liên quan,-,-,242.500.000.000,21.600.000.000,220.900.000.000,,,242500000000.0,21600000000.0,220900000000.0
Công ty Cổ phần KSInvest (i),Công ty Cổ phần KSInvest (i),Công ty Cổ phần KSInvest (i),-,-,242.500.000.000,21.600.000.000,220.900.000.000,,,242500000000.0,21600000000.0,220900000000.0
Vay từ bên không liên quan,Vay từ bên không liên quan,Vay từ bên không liên quan,170.544.785.000,-,-,170.544.785.000,-,170544785000.0,,,170544785000.0,
Ngân hàng Thương mại Cổ phần Công,Ngân hàng Thương mại Cổ phần Công,Ngân hàng Thương mại Cổ phần Công,3.750.000.000,-,-,3.750.000.000,-,3750000000.0,,,3750000000.0,
Thường Việt Nam - Chi nhánh Thủ ThiêmCông ty Cổ phần Kinh doanh Bất động sảnTrường Minh,Thường Việt Nam - Chi nhánh Thủ ThiêmCông ty Cổ phần Kinh doanh Bất động sảnTrường Minh,Thường Việt Nam - Chi nhánh Thủ ThiêmCông ty Cổ phần Kinh doanh Bất động sảnTrường Minh,131.000.000.000,-,-,131.000.000.000,-,131000000000.0,,,131000000000.0,
Ngân hàng Thương mại Cổ phần Việt NamThịnh Vượng,Ngân hàng Thương mại Cổ phần Việt NamThịnh Vượng,Ngân hàng Thương mại Cổ phần Việt NamThịnh Vượng,35.794.785.000,-,-,35.794.785.000,-,35794785000.0,,,35794785000.0,
Trái phiếu dài hạn (ii),Trái phiếu dài hạn (ii),Trái phiếu dài hạn (ii),3.294.648.671.580,4.409.040.761.887,5.586.868.780,5.402.725.423,7.703.873.576.824,3294648671580.0,4409040761887.0,5586868780.0,5402725423.0,7703873576824.0
,,,3.465.193.456.580,4.409.040.761.887,248.086.868.780,197.547.510.423,7.924.773.576.824,3465193456580.0,4409040761887.0,248086868780.0,197547510423.0,7924773576824.0
Trong đó:- Số phải trả trong vòng 12 tháng,Trong đó:- Số phải trả trong vòng 12 tháng,Trong đó:- Số phải trả trong vòng 12 tháng,39.544.785.000,,,,-,39544785000.0,,,,
- Số phải trả sau 12 tháng,- Số phải trả sau 12 tháng,- Số phải trả sau 12 tháng,3.425.648.671.580,,,,7.924.773.576.824,3425648671580.0,,,,7924773576824.0
Trong đó: Số dư mệnh giá trái phiếu nấmgiữ bởi bên liên quan(Chi tiết tại Thuyết minh số 39),Trong đó: Số dư mệnh giá trái phiếu nấmgiữ bởi bên liên quan(Chi tiết tại Thuyết minh số 39),Trong đó: Số dư mệnh giá trái phiếu nấmgiữ bởi bên liên quan(Chi tiết tại Thuyết minh số 39),2.131.162.600.000,,,,5.050.337.400.000,2131162600000.0,,,,5050337400000.0
