row_label_raw,row_label_full,Bên liên quan > Tiền và tương đương tiền (Thuyết minh số 05) > Ngân hàng thương mại Cổ phần Kiên Long > Cổ phần ưu đãi cổ tức (Thuyết minh số 06) > Công ty Cổ phần Đầu tư Thương mại Sunshine Business > Công ty Cổ phần Sunshine Cab > Công ty Cổ phần Kinh doanh Bất động sản Kinh Bắc > Phải thu ngắn hạn của khách hàng (Thuyết minh số 07),Nội dung nghiệp vụ > Tiền và tương đương tiền (Thuyết minh số 05) > Đầu tư nằm giữ tới ngày đáo hạn,Số cuối nămVND > 47.776.394.114 > 4.000.000.000.000 > 1.000.000.000.000 > 2.000.000.000.000 > 9.733.507.095,Số đầu nămVND > 108.921.671.601 > -,numeric__Nội dung nghiệp vụ > Tiền và tương đương tiền (Thuyết minh số 05) > Đầu tư nằm giữ tới ngày đáo hạn,numeric__Số cuối nămVND > 47.776.394.114 > 4.000.000.000.000 > 1.000.000.000.000 > 2.000.000.000.000 > 9.733.507.095,numeric__Số đầu nămVND > 108.921.671.601 > -
Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,"Phải thu từ cho thuê văn phòng, sàn thương mại",7.170.573.451,-,,7170573451.0,
Công ty TNHH Cafe's Plus,Công ty TNHH Cafe's Plus,Công ty TNHH Cafe's Plus,"Phải thu từ cho thuê văn phòng, sàn thương mại",1.050.759.265,-,,1050759265.0,
Công ty Cổ phần Đầu tư và Công nghệ Vietnet,Công ty Cổ phần Đầu tư và Công nghệ Vietnet,Công ty Cổ phần Đầu tư và Công nghệ Vietnet,"Phải thu về quyền đầu tư, khai thác hệ thống IBS và thuê mặt bằng hệ thống phủ sóng",835.679.751,-,,835679751.0,
Công ty Cổ phần Đầu tư KSFinance,Công ty Cổ phần Đầu tư KSFinance,Công ty Cổ phần Đầu tư KSFinance,Phải thu từ dịch vụ,580.688.180,-,,580688180.0,
Công ty Cổ phần Quản lý và Vận hành S-Service,Công ty Cổ phần Quản lý và Vận hành S-Service,Công ty Cổ phần Quản lý và Vận hành S-Service,Phải thu từ dịch vụ,95.806.448,-,,95806448.0,
Trả trước cho người bán ngắn hạn(Thuyết minh số 08),Trả trước cho người bán ngắn hạn(Thuyết minh số 08),Trả trước cho người bán ngắn hạn(Thuyết minh số 08),,-,213.229.466,,,213229466.0
Công ty Cổ phần S-Decoro,Công ty Cổ phần S-Decoro,Công ty Cổ phần S-Decoro,Trả trước tiền thi công dự án,-,213.229.466,,,213229466.0
Phải thu về cho vay ngắn hạn (Thuyết minh số 09),Phải thu về cho vay ngắn hạn (Thuyết minh số 09),Phải thu về cho vay ngắn hạn (Thuyết minh số 09),,2.604.859.500.000,1.695.092.500.000,,2604859500000.0,1695092500000.0
Công ty Cổ phần Kinh doanh Bất động sản Kinh Bắc (i),Công ty Cổ phần Kinh doanh Bất động sản Kinh Bắc (i),Công ty Cổ phần Kinh doanh Bất động sản Kinh Bắc (i),Phải thu về cho vay ngắn hạn,1.021.512.500.000,591.512.500.000,,1021512500000.0,591512500000.0
Công ty Cổ phần Vinaminco Khánh Hòa (ii),Công ty Cổ phần Vinaminco Khánh Hòa (ii),Công ty Cổ phần Vinaminco Khánh Hòa (ii),Phải thu về cho vay ngắn hạn,715.580.000.000,715.580.000.000,,715580000000.0,715580000000.0
Công ty Cổ phần Sunshine Tây Hồ (ii),Công ty Cổ phần Sunshine Tây Hồ (ii),Công ty Cổ phần Sunshine Tây Hồ (ii),Phải thu về cho vay ngắn hạn,388.000.000.000,388.000.000.000,,388000000000.0,388000000000.0
Công ty Cổ phần Bất động sản Wonderland (iii),Công ty Cổ phần Bất động sản Wonderland (iii),Công ty Cổ phần Bất động sản Wonderland (iii),Phải thu về cho vay ngắn hạn,206.877.000.000,-,,206877000000.0,
Công ty Cổ phần Xây dựng V-pro (iii),Công ty Cổ phần Xây dựng V-pro (iii),Công ty Cổ phần Xây dựng V-pro (iii),Phải thu về cho vay ngắn hạn,165.000.000.000,-,,165000000000.0,
Công ty Cổ phần Tập đoàn Sunshine Sài Gòn (iii),Công ty Cổ phần Tập đoàn Sunshine Sài Gòn (iii),Công ty Cổ phần Tập đoàn Sunshine Sài Gòn (iii),Phải thu về cho vay ngắn hạn,52.400.000.000,-,,52400000000.0,
Công ty Cổ phần Marina Nha Trang (iv),Công ty Cổ phần Marina Nha Trang (iv),Công ty Cổ phần Marina Nha Trang (iv),Phải thu về cho vay ngắn hạn,36.500.000.000,-,,36500000000.0,
Công ty TNHH Kinh doanh dịch vụ Tài Phát (iii),Công ty TNHH Kinh doanh dịch vụ Tài Phát (iii),Công ty TNHH Kinh doanh dịch vụ Tài Phát (iii),Phải thu về cho vay ngắn hạn,18.990.000.000,-,,18990000000.0,
