row_label_raw,row_label_full,Bên liên quan > Phải trả ngắn hạn khác (Thuyết minh số 23),Nội dung nghiệp vụ,Số cuối năm VND > 73.201.910.678,Số đầu năm VND > 5.000.000.000,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm VND > 73.201.910.678,numeric__Số đầu năm VND > 5.000.000.000
Công ty TNHH Kinh doanh Dịch vụ Tài Phát,Công ty TNHH Kinh doanh Dịch vụ Tài Phát,Công ty TNHH Kinh doanh Dịch vụ Tài Phát,Phải trả tiền hợp đồng hợp tác đầu tư,38.557.053.917,-,,38557053917.0,
Công ty Cổ phần KS Finance Invest,Công ty Cổ phần KS Finance Invest,Công ty Cổ phần KS Finance Invest,Chi phí lãi vay phải trả,15.255.057.535,-,,15255057535.0,
Ông Bùi Văn Tư,Ông Bùi Văn Tư,Ông Bùi Văn Tư,Phải trả về chuyển nhượng cổ phần và thanh lý bất động sản,6.928.779.063,-,,6928779063.0,
Công ty Cổ phần Bất động sản Kinh Bắc,Công ty Cổ phần Bất động sản Kinh Bắc,Công ty Cổ phần Bất động sản Kinh Bắc,Phải trả về thanh lý hợp đồng chuyển nhượng bất động sản,6.209.016.369,-,,6209016369.0,
Công ty TNHH Đầu tư và Kinh doanh BDS Đại Phát Lộc,Công ty TNHH Đầu tư và Kinh doanh BDS Đại Phát Lộc,Công ty TNHH Đầu tư và Kinh doanh BDS Đại Phát Lộc,Phải trả về thanh lý hợp đồng chuyển nhượng bất động sản và chi phí lãi vay,6.042.615.209,-,,6042615209.0,
Công ty Cổ phần Quản lý và Vận hành S-Service,Công ty Cổ phần Quản lý và Vận hành S-Service,Công ty Cổ phần Quản lý và Vận hành S-Service,Nhận đặt cọc,200.000.000,-,,200000000.0,
Công ty Cổ phần Quản lý và Vận hành S-Service,Công ty Cổ phần Quản lý và Vận hành S-Service,Công ty Cổ phần Quản lý và Vận hành S-Service,Phải trả khác,6.006.765,-,,6006765.0,
Công ty Cổ phần Đầu tư KS Finance,Công ty Cổ phần Đầu tư KS Finance,Công ty Cổ phần Đầu tư KS Finance,Phải trả khác,2.801.820,-,,2801820.0,
Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Phải trả khác,580.000,-,,580000.0,
Công ty Cổ phần Sunshine Marina Nha Trang,Công ty Cổ phần Sunshine Marina Nha Trang,Công ty Cổ phần Sunshine Marina Nha Trang,Phải trả từ hợp đồng bù trừ công nợ ba bên,-,5.000.000.000,,,5000000000.0
Phải trả dài hạn khác (Thuyết minh số 23),Phải trả dài hạn khác (Thuyết minh số 23),Phải trả dài hạn khác (Thuyết minh số 23),,515.544.476.713,-,,515544476713.0,
Công ty Cổ phần Marina 3,Công ty Cổ phần Marina 3,Công ty Cổ phần Marina 3,Phải trả tiền hợp đồng hợp tác đầu tư,515.544.476.713,-,,515544476713.0,
Vay ngắn hạn (Thuyết minh số 24),Vay ngắn hạn (Thuyết minh số 24),Vay ngắn hạn (Thuyết minh số 24),,3.281.000.000,-,,3281000000.0,
Công ty TNHH Đầu tư và Kinh doanh BDS Đại Phát Lộc,Công ty TNHH Đầu tư và Kinh doanh BDS Đại Phát Lộc,Công ty TNHH Đầu tư và Kinh doanh BDS Đại Phát Lộc,Vay ngắn hạn,3.281.000.000,-,,3281000000.0,
Vay dài hạn (Thuyết minh số 24),Vay dài hạn (Thuyết minh số 24),Vay dài hạn (Thuyết minh số 24),,5.050.337.400.000,2.131.162.600.000,,5050337400000.0,2131162600000.0
Công ty Cổ phần KS Group,Công ty Cổ phần KS Group,Công ty Cổ phần KS Group,Mệnh giá trái phiếu,3.653.426.500.000,2.131.162.600.000,,3653426500000.0,2131162600000.0
Công ty Cổ phần Đầu tư KSFinance,Công ty Cổ phần Đầu tư KSFinance,Công ty Cổ phần Đầu tư KSFinance,Mệnh giá trái phiếu,1.027.710.900.000,-,,1027710900000.0,
Công ty Cổ phần KSlInvest,Công ty Cổ phần KSlInvest,Công ty Cổ phần KSlInvest,Vay dài hạn,220.900.000.000,-,,220900000000.0,
Công ty Cổ phần chứng khoán KS,Công ty Cổ phần chứng khoán KS,Công ty Cổ phần chứng khoán KS,Mệnh giá trái phiếu,148.300.000.000,-,,148300000000.0,
