row_label_raw,row_label_full,col_0,Giá trị ghi số ghi nhận tại ngày mua > Công ty Cổ phần Đầu tư Xây dựng Xuân La (tại ngày 16 tháng 02 năm 2022),Giá trị ghi số ghi nhận tại ngày mua > Công ty Cổ phần Sao Ánh Dương (tại ngày 29 tháng 4 năm 2022),Giá trị ghi số ghi nhận tại ngày mua > Công ty Cổ phần Sunshine AM (tại ngày 29 tháng 4 năm 2022),Giá trị ghi số ghi nhận tại ngày mua > Tổng cộng,numeric__Giá trị ghi số ghi nhận tại ngày mua > Công ty Cổ phần Đầu tư Xây dựng Xuân La (tại ngày 16 tháng 02 năm 2022),numeric__Giá trị ghi số ghi nhận tại ngày mua > Công ty Cổ phần Sao Ánh Dương (tại ngày 29 tháng 4 năm 2022),numeric__Giá trị ghi số ghi nhận tại ngày mua > Công ty Cổ phần Sunshine AM (tại ngày 29 tháng 4 năm 2022),numeric__Giá trị ghi số ghi nhận tại ngày mua > Tổng cộng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,
Tiền,Tài sản > Tiền,Tiền,353.200.197.230,17.409.123.235,35.110.572.264,405.719.892.729,353200197230.0,17409123235.0,35110572264.0,405719892729.0
Đầu tư tài chính ngắn hạn,Tài sản > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,-,6.445.200.154,-,6.445.200.154,,6445200154.0,,6445200154.0
Các khoản phải thu ngắn hạn,Tài sản > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,120.048.821.246,173.714.124.002,1.590.790.072.906,1.884.553.018.155,120048821246.0,173714124002.0,1590790072906.0,1884553018155.0
Hàng tồn kho,Tài sản > Hàng tồn kho,Hàng tồn kho,311.462.405.697,658.616.939.237,2.489.270.681,972.568.615.615,311462405697.0,658616939237.0,2489270681.0,972568615615.0
Tài sản ngắn hạn khác,Tài sản > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,3.290.281.000,21.474.095.898,2.437.957.083,27.202.333.981,3290281000.0,21474095898.0,2437957083.0,27202333981.0
Các khoản phải thu dài hạn,Tài sản > Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,-,152.380.000.000,88.067.000.000,240.447.000.000,,152380000000.0,88067000000.0,240447000000.0
Tài sản cố định hữu hình,Tài sản > Tài sản cố định hữu hình,Tài sản cố định hữu hình,-,3.693.293.566,-,3.693.293.566,,3693293566.0,,3693293566.0
Đầu tư tài chính dài hạn,Tài sản > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,-,2.470.200.000.001,4.904.000.000.000,7.370.200.000.001,,2470200000001.0,4904000000000.0,7370200000001.0
Tài sản dài hạn khác,Tài sản > Tài sản dài hạn khác,Tài sản dài hạn khác,32.698.519,-,-,32.698.519,32698519.0,,,32698519.0
,,,788.034.403.692,3.503.932.776.093,6.622.894.872.934,10.910.862.052.720,788034403692.0,3503932776093.0,6622894872934.0,10910862052720.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,
Nợ ngắn hạn,Nợ phải trả > Nợ ngắn hạn,Nợ ngắn hạn,4.785.318.782,2.656.951.956.161,21.527.777.884,2.679.265.052.827,4785318782.0,2656951956161.0,21527777884.0,2679265052827.0
Nợ dài hạn,Nợ phải trả > Nợ dài hạn,Nợ dài hạn,-,3.218.770.371,4.585.813.554.671,4.589.032.325.042,,3218770371.0,4585813554671.0,4589032325042.0
,,,4.785.318.782,2.660.170.726.531,4.607.341.332.555,7.268.297.377.869,4785318782.0,2660170726531.0,4607341332555.0,7268297377869.0
Tổng tài sản thuần theo giá trị ghi số [a],Nợ phải trả > Tổng tài sản thuần theo giá trị ghi số [a],Tổng tài sản thuần theo giá trị ghi số [a],783.249.084.910,843.762.049.562,2.015.553.540.379,3.642.564.674.851,783249084910.0,843762049562.0,2015553540379.0,3642564674851.0
Cổ đông không kiểm soát [b],Nợ phải trả > Cổ đông không kiểm soát [b],Cổ đông không kiểm soát [b],23.497.472.547,410.912.118.137,722.716.829.388,1.157.126.420.072,23497472547.0,410912118137.0,722716829388.0,1157126420072.0
Chênh lệch giữa giá phí hợp nhất và tài sản thuần được ghi nhận vào Quỹ khác thuộc vốn chủ sở hữu [c],Nợ phải trả > Chênh lệch giữa giá phí hợp nhất và tài sản thuần được ghi nhận vào Quỹ khác thuộc vốn chủ sở hữu [c],Chênh lệch giữa giá phí hợp nhất và tài sản thuần được ghi nhận vào Quỹ khác thuộc vốn chủ sở hữu [c],(3.151.612.363),40.625.068.575,19.628.981.012,57.102.437.224,-3151612363.0,40625068575.0,19628981012.0,57102437224.0
Tổng giá phí hợp nhất kinh doanh [d] = [a] - [b] + [c],Nợ phải trả > Tổng giá phí hợp nhất kinh doanh [d] = [a] - [b] + [c],Tổng giá phí hợp nhất kinh doanh [d] = [a] - [b] + [c],756.600.000.000,473.475.000.000,1.312.465.692.003,2.542.540.692.003,756600000000.0,473475000000.0,1312465692003.0,2542540692003.0
Tổng giá phí hợp nhất kinh doanh đã thực thanh toán,Nợ phải trả > Tổng giá phí hợp nhất kinh doanh đã thực thanh toán,Tổng giá phí hợp nhất kinh doanh đã thực thanh toán,756.600.000.000,473.475.000.000,-,1.230.075.000.000,756600000000.0,473475000000.0,,1230075000000.0
Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,,,,
Tiền thu về từ công ty con [e],Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tiền thu về từ công ty con [e],Tiền thu về từ công ty con [e],353.200.197.230,17.409.123.235,35.110.572.264,405.719.892.729,353200197230.0,17409123235.0,35110572264.0,405719892729.0
Tiền chi để mua công ty con [f],Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tiền chi để mua công ty con [f],Tiền chi để mua công ty con [f],(756.600.000.000),(473.475.000.000),-,(1.230.075.000.000),-756600000000.0,-473475000000.0,,-1230075000000.0
Tổng tiền thuần đã chi cho nghiệp vụ mua [g] = [e] + [f],Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tổng tiền thuần đã chi cho nghiệp vụ mua [g] = [e] + [f],Tổng tiền thuần đã chi cho nghiệp vụ mua [g] = [e] + [f],(403.399.802.770),(456.065.876.765),35.110.572.264,(824.355.107.271),-403399802770.0,-456065876765.0,35110572264.0,-824355107271.0
