row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Năm nay,Năm trước,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__Năm trước
,,,,VND,VND,,,
Doanh thu hoạt động tài chính (Thuyết minh số 32),Doanh thu hoạt động tài chính (Thuyết minh số 32),Doanh thu hoạt động tài chính (Thuyết minh số 32),,760.626.538.234,360.981.009.593,,760626538234.0,360981009593.0
Công ty Cổ phần Kinh doanh Bất động sản Kinh Bắc,Công ty Cổ phần Kinh doanh Bất động sản Kinh Bắc,Công ty Cổ phần Kinh doanh Bất động sản Kinh Bắc,"Lãi từ cổ phần ưu đãi cổ tức, lãi cho vay",297.392.232.877,103.584.509.591,,297392232877.0,103584509591.0
Công ty cổ phần Sunshine Cab,Công ty cổ phần Sunshine Cab,Công ty cổ phần Sunshine Cab,Lãi từ cổ phần ưu đãi cổ tức,106.487.670.861,-,,106487670861.0,
Công ty Cổ phần Đầu tư Thương mại Sunshine Business,Công ty Cổ phần Đầu tư Thương mại Sunshine Business,Công ty Cổ phần Đầu tư Thương mại Sunshine Business,Lãi từ cổ phần ưu đãi cổ tức,106.487.670.861,-,,106487670861.0,
Công ty Cổ phần Vinaminco Khánh Hòa,Công ty Cổ phần Vinaminco Khánh Hòa,Công ty Cổ phần Vinaminco Khánh Hòa,Lãi cho vay,89.447.499.999,108.924.582.193,,89447499999.0,108924582193.0
Công ty Cổ phần Sunshine Tây Hồ,Công ty Cổ phần Sunshine Tây Hồ,Công ty Cổ phần Sunshine Tây Hồ,Lãi cho vay,48.500.000.000,46.850.000.000,,48500000000.0,46850000000.0
Công ty Cổ phần Tập đoàn Sunshine,Công ty Cổ phần Tập đoàn Sunshine,Công ty Cổ phần Tập đoàn Sunshine,"Lãi từ đặt cọc chuyển nhượng cổ phần, lãi cho vay, đầu tư trái phiếu",45.000.000.000,101.621.917.809,,45000000000.0,101621917809.0
Công ty Cổ phần Bất động sản Fulland,Công ty Cổ phần Bất động sản Fulland,Công ty Cổ phần Bất động sản Fulland,Lãi cho vay và hợp tác đầu tư,43.483.383.559,-,,43483383559.0,
Công ty Cổ phần Bất động sản Wonderland,Công ty Cổ phần Bất động sản Wonderland,Công ty Cổ phần Bất động sản Wonderland,Lãi cho vay,11.192.294.049,-,,11192294049.0,
Công ty Cổ phần Xây dựng V-pro,Công ty Cổ phần Xây dựng V-pro,Công ty Cổ phần Xây dựng V-pro,Lãi cho vay,5.560.273.974,-,,5560273974.0,
Công ty Cổ phần Tập đoàn Sunshine Sài Gòn,Công ty Cổ phần Tập đoàn Sunshine Sài Gòn,Công ty Cổ phần Tập đoàn Sunshine Sài Gòn,Lãi cho vay,4.767.682.190,-,,4767682190.0,
Công ty TNHH Kinh doanh dịch vụ Tài Phát,Công ty TNHH Kinh doanh dịch vụ Tài Phát,Công ty TNHH Kinh doanh dịch vụ Tài Phát,Lãi cho vay,1.727.829.864,-,,1727829864.0,
Công ty Cổ phần Marina Nha Trang,Công ty Cổ phần Marina Nha Trang,Công ty Cổ phần Marina Nha Trang,Lãi cho vay,580.000.000,-,,580000000.0,
Chi phí tài chính (Thuyết minh số 33),Chi phí tài chính (Thuyết minh số 33),Chi phí tài chính (Thuyết minh số 33),,696.443.465.155,479.813.676.934,,696443465155.0,479813676934.0
Công ty Cổ phần KS Group,Công ty Cổ phần KS Group,Công ty Cổ phần KS Group,"Chi phí lãi trái phiếu, chi phí liên quan trái phiếu đã phát hành",464.996.100.223,224.499.119.675,,464996100223.0,224499119675.0
Công ty Cổ phần Đầu tư KSFinance,Công ty Cổ phần Đầu tư KSFinance,Công ty Cổ phần Đầu tư KSFinance,Chi phí phải trả liên quan đến trái phiếu,102.093.131.929,-,,102093131929.0,
Công ty Cổ phần Chứng khoán KS,Công ty Cổ phần Chứng khoán KS,Công ty Cổ phần Chứng khoán KS,"Chi phí lãi trái phiếu, chi phí liên quan trái phiếu đã phát hành",97.210.195.194,58.880.960.000,,97210195194.0,58880960000.0
Công ty Cổ phần KS Invest,Công ty Cổ phần KS Invest,Công ty Cổ phần KS Invest,Chi phí lãi vay,15.255.057.535,-,,15255057535.0,
Công ty Cổ phần Marina 3,Công ty Cổ phần Marina 3,Công ty Cổ phần Marina 3,Chi phí lãi hợp đồng hợp tác đầu tư,12.964.504.110,,,12964504110.0,
Công ty TNHH Kinh doanh Dịch vụ Tài Phát,Công ty TNHH Kinh doanh Dịch vụ Tài Phát,Công ty TNHH Kinh doanh Dịch vụ Tài Phát,Chi phí lãi hợp đồng hợp tác đầu tư,2.676.772.054,-,,2676772054.0,
Công ty Cổ phần Marina 2,Công ty Cổ phần Marina 2,Công ty Cổ phần Marina 2,Chi phí lãi hợp đồng hợp tác đầu tư,1.049.945.205,-,,1049945205.0,
Công ty TNHH Đầu tư và Kinh doanh BDS Đại Phát Lộc,Công ty TNHH Đầu tư và Kinh doanh BDS Đại Phát Lộc,Công ty TNHH Đầu tư và Kinh doanh BDS Đại Phát Lộc,Chi phí lãi vay,197.758.905,-,,197758905.0,
Công ty Cổ phần Tập đoàn Sunshine,Công ty Cổ phần Tập đoàn Sunshine,Công ty Cổ phần Tập đoàn Sunshine,Chi phí lãi vay,-,186.424.315.067,,,186424315067.0
Công ty Cổ phần Sao Ánh Dương,Công ty Cổ phần Sao Ánh Dương,Công ty Cổ phần Sao Ánh Dương,Chi phí lãi hợp đồng hợp tác đầu tư,-,9.277.775.342,,,9277775342.0
Công ty Cổ phần Tập đoàn Sunshine International Property Technology,Công ty Cổ phần Tập đoàn Sunshine International Property Technology,Công ty Cổ phần Tập đoàn Sunshine International Property Technology,Chi phí lãi vay,-,731.506.850,,,731506850.0
Nhận chuyển nhượng cổ phần,Nhận chuyển nhượng cổ phần,Nhận chuyển nhượng cổ phần,,-,267.000.000.000,,,267000000000.0
Công ty Cổ phần Đầu tư kinh doanh Bất động sản S-Homes,Công ty Cổ phần Đầu tư kinh doanh Bất động sản S-Homes,Công ty Cổ phần Đầu tư kinh doanh Bất động sản S-Homes,Nhận chuyển nhượng cổ phần,-,267.000.000.000,,,267000000000.0
