row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,2.500.000.000.000,-,(791.955.590.152),624.305.528.529,203.251.972.460,2.535.601.910.837,2500000000000.0,,-791955590152.0,624305528529.0,203251972460.0,2535601910837.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,298.307.865.461,24.430.403.200,322.738.268.661,,,,298307865461.0,24430403200.0,322738268661.0
Đầu tư góp vốn thêm vào công ty con không làm thay đổi quyền kiểm soát,Đầu tư góp vốn thêm vào công ty con không làm thay đổi quyền kiểm soát,Đầu tư góp vốn thêm vào công ty con không làm thay đổi quyền kiểm soát,-,-,-,(58.818.694.093),(208.181.305.907),(267.000.000.000),,,,-58818694093.0,-208181305907.0,-267000000000.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,2.500.000.000.000,-,(791.955.590.152),863.794.699.897,19.501.069.753,2.591.340.179.498,2500000000000.0,,-791955590152.0,863794699897.0,19501069753.0,2591340179498.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,310.824.382.680,18.436.225.883,329.260.608.563,,,,310824382680.0,18436225883.0,329260608563.0
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,1.250.000.000.000,(320.509.091),-,-,-,1.249.679.490.909,1250000000000.0,-320509091.0,,,,1249679490909.0
Tăng do hợp nhất kinh doanh dưới sự kiểm soát chung,Tăng do hợp nhất kinh doanh dưới sự kiểm soát chung,Tăng do hợp nhất kinh doanh dưới sự kiểm soát chung,-,-,(57.102.437.224),-,1.207.025.837.709,1.149.923.400.485,,,-57102437224.0,,1207025837709.0,1149923400485.0
Giảm do thoái vốn tại công ty con,Giảm do thoái vốn tại công ty con,Giảm do thoái vốn tại công ty con,-,-,-,-,(49.544.104.247),(49.544.104.247),,,,,-49544104247.0,-49544104247.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,3.750.000.000.000,(320.509.091),(849.058.027.376),1.174.619.082.577,1.195.419.029.098,5.270.659.575.208,3750000000000.0,-320509091.0,-849058027376.0,1174619082577.0,1195419029098.0,5270659575208.0
Cố phiếu,Cố phiếu,Cố phiếu,Cố phiếu,Cố phiếu,Cố phiếu,Cố phiếu,Cố phiếu,Cố phiếu,,,,,,
,,,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,,,,,,,,
Số lượng cổ phiếu đã phát hành,Cố phiếu > Số lượng cổ phiếu đã phát hành,Số lượng cổ phiếu đã phát hành,375.000.000,375.000.000,250.000.000,250.000.000,,,375000000.0,375000000.0,250000000.0,250000000.0,,
Cổ phiếu phổ thông,Cố phiếu > Cổ phiếu phổ thông,Cổ phiếu phổ thông,375.000.000,375.000.000,250.000.000,250.000.000,,,375000000.0,375000000.0,250000000.0,250000000.0,,
Số lượng cổ phiếu đang lưu hành,Cố phiếu > Số lượng cổ phiếu đang lưu hành,Số lượng cổ phiếu đang lưu hành,375.000.000,375.000.000,250.000.000,250.000.000,,,375000000.0,375000000.0,250000000.0,250000000.0,,
Cổ phiếu phổ thông,Cố phiếu > Cổ phiếu phổ thông,Cổ phiếu phổ thông,375.000.000,375.000.000,250.000.000,250.000.000,,,375000000.0,375000000.0,250000000.0,250000000.0,,
