row_label_raw,row_label_full,Bên liên quan > Phải trả người bán ngắn hạn (Thuyết minh số 18),Nội dung nghiệp vụ,Số cuối năm VND > 573.894.808.036,Số đầu năm VND > 428.937.967.667,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm VND > 573.894.808.036,numeric__Số đầu năm VND > 428.937.967.667
Công ty Cổ phần Tập đoàn Sunshine,Công ty Cổ phần Tập đoàn Sunshine,Công ty Cổ phần Tập đoàn Sunshine,"Phải trả chi phí thi công, hoàn thiện dự án",332.527.242.018,346.812.358.992,,332527242018.0,346812358992.0
Công ty Cổ phần Đầu tư kinh doanh Bắt động sản S-Homes,Công ty Cổ phần Đầu tư kinh doanh Bắt động sản S-Homes,Công ty Cổ phần Đầu tư kinh doanh Bắt động sản S-Homes,Phải trả chi phí thi công xây dựng và quản lý dự án,202.635.067.384,52.151.606.476,,202635067384.0,52151606476.0
Công ty Cổ phần Đầu tư KSFinance,Công ty Cổ phần Đầu tư KSFinance,Công ty Cổ phần Đầu tư KSFinance,"Phải trả chi phí phát hành trái phiếu, phí tư vấn và môi giới bắt động sản",23.845.073.384,-,,23845073384.0,
Công ty Cổ phần Tập đoàn Xây dựng SCG,Công ty Cổ phần Tập đoàn Xây dựng SCG,Công ty Cổ phần Tập đoàn Xây dựng SCG,Phải trả chi phí hoàn thiện dự án,7.560.443.077,29.869.917.200,,7560443077.0,29869917200.0
Công ty Cổ phần Quản lý và Vận hành S-Service,Công ty Cổ phần Quản lý và Vận hành S-Service,Công ty Cổ phần Quản lý và Vận hành S-Service,Phải trả mua sắm thiết bị và phần mềm,4.833.263.969,-,,4833263969.0,
Công ty Cổ phần Kinh doanh Nhà Sunshine,Công ty Cổ phần Kinh doanh Nhà Sunshine,Công ty Cổ phần Kinh doanh Nhà Sunshine,Phải trả chi phí thi công xây dựng và chi phí quản lý dự án,985.114.298,-,,985114298.0,
Công ty Cổ phần S-Decoro,Công ty Cổ phần S-Decoro,Công ty Cổ phần S-Decoro,Chi phí voucher,500.000.000,-,,500000000.0,
Công ty Cổ phần Tập đoàn Công nghệ Unicloud,Công ty Cổ phần Tập đoàn Công nghệ Unicloud,Công ty Cổ phần Tập đoàn Công nghệ Unicloud,Phải trả mua sắm thiết bị và phần mềm,480.991.289,-,,480991289.0,
Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Phải trả chi phí dịch vụ suất ăn,296.521.617,104.084.999,,296521617.0,104084999.0
Công ty TNHH Giáo dục Sunshine Maple Bear,Công ty TNHH Giáo dục Sunshine Maple Bear,Công ty TNHH Giáo dục Sunshine Maple Bear,Chi phí voucher,215.545.500,-,,215545500.0,
Công ty TNHH Đầu tư Giáo dục Phú Thương,Công ty TNHH Đầu tư Giáo dục Phú Thương,Công ty TNHH Đầu tư Giáo dục Phú Thương,Chi phí voucher,15.545.500,-,,15545500.0,
Chi phí phải trả ngắn hạn (Thuyết minh số 21),Chi phí phải trả ngắn hạn (Thuyết minh số 21),Chi phí phải trả ngắn hạn (Thuyết minh số 21),,240.949.910.544,171.687.064.880,,240949910544.0,171687064880.0
Công ty Cổ phần KS Group,Công ty Cổ phần KS Group,Công ty Cổ phần KS Group,"Chi phí lãi trái phiếu phải trả, phí hoa hồng chuyển nhượng trái phiếu",150.365.099.732,171.687.064.880,,150365099732.0,171687064880.0
Công ty Cổ phần chứng khoán KS,Công ty Cổ phần chứng khoán KS,Công ty Cổ phần chứng khoán KS,"Chi phí lãi trái phiếu phải trả, chi phí liên quan trái phiếu phát hành",82.656.311.047,,,82656311047.0,
Công ty Cổ phần Đầu tư KS Finance,Công ty Cổ phần Đầu tư KS Finance,Công ty Cổ phần Đầu tư KS Finance,Phí hoa hồng chuyển nhượng trái phiếu,7.546.030.467,-,,7546030467.0,
Công ty Cổ phần Tập đoàn Công nghệ Unicloud,Công ty Cổ phần Tập đoàn Công nghệ Unicloud,Công ty Cổ phần Tập đoàn Công nghệ Unicloud,Chi phí voucher,271.908.800,-,,271908800.0,
Công ty Cổ phần S-Decoro,Công ty Cổ phần S-Decoro,Công ty Cổ phần S-Decoro,Chi phí voucher,110.560.498,-,,110560498.0,
