row_label_raw,row_label_full,Tên công ty liên kết gián tiếp,Nơi thành lập và hoạt động,Tỷ lệ phần sở hữu,Tỷ lệ quyền biểu quyết nắm giữ,Hoạt động chính,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ phần sở hữu,numeric__Tỷ lệ quyền biểu quyết nắm giữ,numeric__Hoạt động chính
Công ty Cổ phần Thiên Hải,Công ty Cổ phần Thiên Hải,Công ty Cổ phần Thiên Hải,"257 Đường 19/4 Phường Xuân An, Thành phố Phan Thiết, Tính Bình Thuận","21,18%","41,29%","Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu hoặc đi thuê",,0.2118,0.4129,
Công ty TNHH Bảo Tín Sơn Tùng,Công ty TNHH Bảo Tín Sơn Tùng,Công ty TNHH Bảo Tín Sơn Tùng,"Tầng 11, Tòa nhà Sunshine Center, 16 Phạm Hùng, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Thành phố Hà Nội","17,96%","35,00%","Bảo dưỡng, sửa chữa ô tô và xe có động cơ khác",,0.1796,0.35,
Công ty Cổ phần Xây lắp Sunshine E&C,Công ty Cổ phần Xây lắp Sunshine E&C,Công ty Cổ phần Xây lắp Sunshine E&C,"Tầng 9, toà nhà Sunshine Center, 16 Phạm Hùng, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Thành phố Hà Nội","17,96%","35,00%",Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan,,0.1796,0.35,
Công ty Cổ phần Bất động sản Wonderland,Công ty Cổ phần Bất động sản Wonderland,Công ty Cổ phần Bất động sản Wonderland,"Tầng 9, toà nhà Sunshine Center, 16 Phạm Hùng, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Thành phố Hà Nội, Việt Nam","19,25%","43,16%","Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu hoặc đi thuê",,0.1925,0.4316,
