row_label_raw,row_label_full,col_0,Số đầu nămVND,Tăng do hợp nhất kinh doanhVND,Số phải thu/phải nộp trong nămVND,Số đã thực nộp/ bù trừ trong nămVND,Giảm do thoái vốn tại công ty con,Số cuối nămVND,numeric__Số đầu nămVND,numeric__Tăng do hợp nhất kinh doanhVND,numeric__Số phải thu/phải nộp trong nămVND,numeric__Số đã thực nộp/ bù trừ trong nămVND,numeric__Giảm do thoái vốn tại công ty con,numeric__Số cuối nămVND
Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,,,,,,
Thuế thu nhập doanh nghiệp tạm nộp,Các khoản phải thu > Thuế thu nhập doanh nghiệp tạm nộp,Thuế thu nhập doanh nghiệp tạm nộp,2.657.034.203,16.316.584.948,2.194.213.935,2.794.556.486,-,19.573.961.702,2657034203.0,16316584948.0,2194213935.0,2794556486.0,,19573961702.0
"Thuế nhà đất, tiền thuê đất","Các khoản phải thu > Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",-,-,-,763.677.579,-,763.677.579,,,,763677579.0,,763677579.0
Thuế thu nhập cá nhân,Các khoản phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,,5.321.383,5.321.383,7.403.101,-,7.403.101,,5321383.0,5321383.0,7403101.0,,7403101.0
,,,2.657.034.203,16.321.906.331,2.199.535.318,3.565.637.166,-,20.345.042.382,2657034203.0,16321906331.0,2199535318.0,3565637166.0,,20345042382.0
Các khoản phải nộp,Các khoản phải nộp,Các khoản phải nộp,Các khoản phải nộp,Các khoản phải nộp,Các khoản phải nộp,Các khoản phải nộp,Các khoản phải nộp,Các khoản phải nộp,,,,,,
Thuế giá trị gia tăng,Các khoản phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,87.531.733.759,1.108.995.102,119.782.162.883,153.252.429.345,-,55.170.462.399,87531733759.0,1108995102.0,119782162883.0,153252429345.0,,55170462399.0
Thuế thu nhập doanh nghiệp,Các khoản phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,73.016.246.056,4.499.927.250,104.577.653.006,73.106.246.056,-,108.987.580.256,73016246056.0,4499927250.0,104577653006.0,73106246056.0,,108987580256.0
Thuế thu nhập cá nhân,Các khoản phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,138.191.026,433.931.402,14.539.836.194,11.873.631.358,481.370.426,2.756.956.838,138191026.0,433931402.0,14539836194.0,11873631358.0,481370426.0,2756956838.0
"Thuế nhà đất, tiền thuê đất","Các khoản phải nộp > Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",476.586.808,49.273.885,3.143.024.007,3.668.884.700,-,-,476586808.0,49273885.0,3143024007.0,3668884700.0,,
Các loại thuế khác,Các khoản phải nộp > Các loại thuế khác,Các loại thuế khác,-,3.000.000.000,30.000.000,3.030.000.000,-,-,,3000000000.0,30000000.0,3030000000.0,,
,,,161.162.757.649,9.092.127.639,242.072.676.090,244.931.191.459,481.370.426,166.914.999.493,161162757649.0,9092127639.0,242072676090.0,244931191459.0,481370426.0,166914999493.0
