row_label_raw,row_label_full,Mối quan hệ,Bản chất giao dịch,Giá trị giao dịch > 2021VND,Giá trị giao dịch > 2020VND,Phải thu/(Phải trả) tại ngày > 31/12/2021VND,Phải thu/(Phải trả) tại ngày > 1/1/2021VND,numeric__Bản chất giao dịch,numeric__Giá trị giao dịch > 2021VND,numeric__Giá trị giao dịch > 2020VND,numeric__Phải thu/(Phải trả) tại ngày > 31/12/2021VND,numeric__Phải thu/(Phải trả) tại ngày > 1/1/2021VND
Công ty TNHH Một Thành viên Công nghệ Thực phẩm Việt Tiến,Công ty TNHH Một Thành viên Công nghệ Thực phẩm Việt Tiến,Công ty TNHH Một Thành viên Công nghệ Thực phẩm Việt Tiến,Bán hàng hóa,11.444.584,18.280.639,-,-,,11444584.0,18280639.0,,
Công ty TNHH Một Thành viên Masan HD,Công ty TNHH Một Thành viên Masan HD,Công ty TNHH Một Thành viên Masan HD,Bán hàng hóa,111.140.642.378,107.380.766.378,-,-,,111140642378.0,107380766378.0,,
Công ty TNHH Một Thành viên Masan HD,Công ty TNHH Một Thành viên Masan HD,Công ty TNHH Một Thành viên Masan HD,Mua hàng hóa,2.109.614.479.377,1.672.400.807.338,(129.554.375.771),(171.680.360.519),,2109614479377.0,1672400807338.0,-129554375771.0,-171680360519.0
Công ty Cổ phần Masan PQ,Công ty Cổ phần Masan PQ,Công ty Cổ phần Masan PQ,Bán hàng hóa,11.270.172,12.659.075,-,-,,11270172.0,12659075.0,,
Công ty Cổ phần Masan PQ,Công ty Cổ phần Masan PQ,Công ty Cổ phần Masan PQ,Mua hàng hóa,163.307.232,1.162.144.632,-,(21.924.170),,163307232.0,1162144632.0,,-21924170.0
Công ty TNHH Một Thành viên Nam Ngư Phú Quốc,Công ty TNHH Một Thành viên Nam Ngư Phú Quốc,Công ty TNHH Một Thành viên Nam Ngư Phú Quốc,Bán hàng hóa,1.998.134.762,1.757.841.301,-,-,,1998134762.0,1757841301.0,,
Công ty TNHH Một Thành viên Nam Ngư Phú Quốc,Công ty TNHH Một Thành viên Nam Ngư Phú Quốc,Công ty TNHH Một Thành viên Nam Ngư Phú Quốc,Mua hàng hóa,171.404.168.668,176.780.117.885,(37.578.511.695),(78.730.938.333),,171404168668.0,176780117885.0,-37578511695.0,-78730938333.0
Công ty TNHH Một Thành viên Masan Beverage,Công ty TNHH Một Thành viên Masan Beverage,Công ty TNHH Một Thành viên Masan Beverage,Phân phối lợi nhuận,846.270.310.000,839.965.390.000,107.211.095.000,-,,846270310000.0,839965390000.0,107211095000.0,
Công ty TNHH Một Thành viên Masan Beverage,Công ty TNHH Một Thành viên Masan Beverage,Công ty TNHH Một Thành viên Masan Beverage,Cho vay,-,12.000.000.000,-,-,,,12000000000.0,,
Công ty TNHH Một Thành viên Masan Beverage,Công ty TNHH Một Thành viên Masan Beverage,Công ty TNHH Một Thành viên Masan Beverage,Thu hồi các khoản cho vay bằng tiền,-,12.000.000.000,-,-,,,12000000000.0,,
Công ty TNHH Một Thành viên Masan Beverage,Công ty TNHH Một Thành viên Masan Beverage,Công ty TNHH Một Thành viên Masan Beverage,Thu nhập lãi cho vay,-,17.095.890,-,-,,,17095890.0,,
Công ty Cổ phần VinaCafé Biên Hòa,Công ty Cổ phần VinaCafé Biên Hòa,Công ty Cổ phần VinaCafé Biên Hòa,Bán hàng hóa,65.788.308.853,101.973.274.178,-,-,,65788308853.0,101973274178.0,,
Công ty Cổ phần VinaCafé Biên Hòa,Công ty Cổ phần VinaCafé Biên Hòa,Công ty Cổ phần VinaCafé Biên Hòa,Bán tài sản cố định,-,325.000.000,-,-,,,325000000.0,,
Công ty Cổ phần VinaCafé Biên Hòa,Công ty Cổ phần VinaCafé Biên Hòa,Công ty Cổ phần VinaCafé Biên Hòa,Mua hàng hóa và dịch vụ,1.957.512.103.704,2.647.008.559.069,(56.024.667.533),(199.894.999.344),,1957512103704.0,2647008559069.0,-56024667533.0,-199894999344.0
Công ty Cổ phần Café De Nam,Công ty Cổ phần Café De Nam,Công ty Cổ phần Café De Nam,Bán hàng hóa,80.713.901,380.880.699,-,-,,80713901.0,380880699.0,,
Công ty Cổ phần Café De Nam,Công ty Cổ phần Café De Nam,Công ty Cổ phần Café De Nam,Mua hàng hóa,2.425.233.972,4.123.884.843,(724.170.586),(1.337.493.036),,2425233972.0,4123884843.0,-724170586.0,-1337493036.0
