row_label_raw,row_label_full,col_0,Nâng cấptài sản thuêVND,Thiết bịvăn phòngVND,Máy móc vàthiết bịVND,Phương tiệnvận chuyểnVND,TổngVND,numeric__Nâng cấptài sản thuêVND,numeric__Thiết bịvăn phòngVND,numeric__Máy móc vàthiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,52.666.866.594,24.671.896.174,3.865.624.189,5.450.418.428,86.654.805.385,52666866594.0,24671896174.0,3865624189.0,5450418428.0,86654805385.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,337.240.000,-,-,337.240.000,,337240000.0,,,337240000.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,-,1.538.410.567,400.000.000,5.372.656.698,7.311.067.265,,1538410567.0,400000000.0,5372656698.0,7311067265.0
Chuyển sang chi phí trả trước ngăn hạn,Nguyên giá > Chuyển sang chi phí trả trước ngăn hạn,Chuyển sang chi phí trả trước ngăn hạn,-,-,-,(143.420.334),(143.420.334),,,,-143420334.0,-143420334.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(95.651.774),(39.290.879),(200.951.600),-,(335.894.253),-95651774.0,-39290879.0,-200951600.0,,-335894253.0
Xóa số,Nguyên giá > Xóa số,Xóa số,(248.492.875),(212.646.295),(52.640.000),(75.821.200),(589.600.370),-248492875.0,-212646295.0,-52640000.0,-75821200.0,-589600370.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,52.322.721.945,26.295.609.567,4.012.032.589,10.603.833.592,93.234.197.693,52322721945.0,26295609567.0,4012032589.0,10603833592.0,93234197693.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,51.166.838.421,17.221.720.300,3.250.383.542,5.311.668.938,76.950.611.201,51166838421.0,17221720300.0,3250383542.0,5311668938.0,76950611201.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,1.500.028.173,2.592.326.015,160.052.336,606.126.512,4.858.533.036,1500028173.0,2592326015.0,160052336.0,606126512.0,4858533036.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(95.651.774),(39.290.879),(200.951.600),-,(335.894.253),-95651774.0,-39290879.0,-200951600.0,,-335894253.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,(248.492.875),(212.646.295),(52.640.000),(75.821.200),(589.600.370),-248492875.0,-212646295.0,-52640000.0,-75821200.0,-589600370.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,52.322.721.945,19.562.109.141,3.156.844.278,5.841.974.250,80.883.649.614,52322721945.0,19562109141.0,3156844278.0,5841974250.0,80883649614.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.500.028.173,7.450.175.874,615.240.647,138.749.490,9.704.194.184,1500028173.0,7450175874.0,615240647.0,138749490.0,9704194184.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,-,6.733.500.426,855.188.311,4.761.859.342,12.350.548.079,,6733500426.0,855188311.0,4761859342.0,12350548079.0
