row_label_raw,row_label_full,Mối quan hệ,Bản chất giao dịch,Giá trị giao dịch > 2021VND,Giá trị giao dịch > 2020VND,Phải thu/(Phải trả) tại ngày > 31/12/2021VND,Phải thu/(Phải trả) tại ngày > 1/1/2021VND,numeric__Bản chất giao dịch,numeric__Giá trị giao dịch > 2021VND,numeric__Giá trị giao dịch > 2020VND,numeric__Phải thu/(Phải trả) tại ngày > 31/12/2021VND,numeric__Phải thu/(Phải trả) tại ngày > 1/1/2021VND
Công ty TNHH Masan HPC,Công ty TNHH Masan HPC,Công ty TNHH Masan HPC,Phân phối lợi nhuận,70.516.503.388,-,294.723.388,-,,70516503388.0,,294723388.0,
Công ty TNHH Masan HPC,Công ty TNHH Masan HPC,Công ty TNHH Masan HPC,Bán hàng hóa,341.169,730.431,-,-,,341169.0,730431.0,,
Công ty Cổ phần Bột giặt NET,Công ty Cổ phần Bột giặt NET,Công ty Cổ phần Bột giặt NET,Mua hàng hóa và dịch vụ,167.246.939.637,89.295.038.986,(17.823.678.600),-,,167246939637.0,89295038986.0,-17823678600.0,
Công ty Cổ phần Bột giặt NET,Công ty Cổ phần Bột giặt NET,Công ty Cổ phần Bột giặt NET,Trả trước tiền mua hàng hóa,-,624.158.194,-,624.158.194,,,624158194.0,,624158194.0
Công ty TNHH Hi-Fresh,Công ty TNHH Hi-Fresh,Công ty TNHH Hi-Fresh,Bán hàng hóa,86.544.267,-,9.725.211,-,,86544267.0,,9725211.0,
Công ty TNHH Hi-Fresh,Công ty TNHH Hi-Fresh,Công ty TNHH Hi-Fresh,Bán tài sản cố định,2.624.971,-,-,-,,2624971.0,,,
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,,,,
Công ty TNHH Một Thành viênMasan Brewery PY,Các bên liên quan khác > Công ty TNHH Một Thành viênMasan Brewery PY,Công ty TNHH Một Thành viênMasan Brewery PY,Bán hàng hóa,21.250.239,66.939.287,-,-,,21250239.0,66939287.0,,
Công ty TNHH Masan MasterBrewer,Các bên liên quan khác > Công ty TNHH Masan MasterBrewer,Công ty TNHH Masan MasterBrewer,Bán hàng hóa,947.232,2.469.183,-,-,,947232.0,2469183.0,,
Công ty TNHH Một Thành viênMasan Brewery Distribution,Các bên liên quan khác > Công ty TNHH Một Thành viênMasan Brewery Distribution,Công ty TNHH Một Thành viênMasan Brewery Distribution,Bán hàng hóa,293.746.266,1.942.563.514,-,-,,293746266.0,1942563514.0,,
Công ty TNHH Một Thành viênMasan Brewery Distribution,Các bên liên quan khác > Công ty TNHH Một Thành viênMasan Brewery Distribution,Công ty TNHH Một Thành viênMasan Brewery Distribution,Mua hàng hóa,9.964.827.525,14.020.134.692,-,-,,9964827525.0,14020134692.0,,
Công ty TNHH Một Thành viênMasan Brewery Distribution,Các bên liên quan khác > Công ty TNHH Một Thành viênMasan Brewery Distribution,Công ty TNHH Một Thành viênMasan Brewery Distribution,Phí hỗ trợ quản lý,31.836.087.648,25.552.551.615,25.645.053.000,25.103.111.299,,31836087648.0,25552551615.0,25645053000.0,25103111299.0
Công ty TNHH Một Thành viênMasan Brewery HG,Các bên liên quan khác > Công ty TNHH Một Thành viênMasan Brewery HG,Công ty TNHH Một Thành viênMasan Brewery HG,Bán hàng hóa,21.002.393,64.077.751,-,-,,21002393.0,64077751.0,,
Công ty TNHH Một Thành viênMasan Brewery HG,Các bên liên quan khác > Công ty TNHH Một Thành viênMasan Brewery HG,Công ty TNHH Một Thành viênMasan Brewery HG,Phí hỗ trợ quản lý,2.607.980.855,4.181.202.965,2.868.778.941,4.566.907.528,,2607980855.0,4181202965.0,2868778941.0,4566907528.0
Công ty TNHH MML Farm Nghệ An(trước đây là “Công ty TNHH MNSFarm Nghệ An”),Các bên liên quan khác > Công ty TNHH MML Farm Nghệ An(trước đây là “Công ty TNHH MNSFarm Nghệ An”),Công ty TNHH MML Farm Nghệ An(trước đây là “Công ty TNHH MNSFarm Nghệ An”),Bán hàng hóa,75.792.465,337.893.004,-,-,,75792465.0,337893004.0,,
Công ty TNHH MML Farm Nghệ An(trước đây là “Công ty TNHH MNSFarm Nghệ An”),Các bên liên quan khác > Công ty TNHH MML Farm Nghệ An(trước đây là “Công ty TNHH MNSFarm Nghệ An”),Công ty TNHH MML Farm Nghệ An(trước đây là “Công ty TNHH MNSFarm Nghệ An”),Phí hỗ trợ quản lý,2.600.920.637,5.174.364.010,1.600.876.379,2.778.795.592,,2600920637.0,5174364010.0,1600876379.0,2778795592.0
