row_label_raw,row_label_full,col_0,Phần mềmmáy tínhVND,NhãnhiệuVND,TổngVND,numeric__Phần mềmmáy tínhVND,numeric__NhãnhiệuVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,278.675.117.480,636.363.636,279.311.481.116,278675117480.0,636363636.0,279311481116.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,214.325.000,-,214.325.000,214325000.0,,214325000.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,10.227.110.017,-,10.227.110.017,10227110017.0,,10227110017.0
Xóa số,Nguyên giá > Xóa số,Xóa số,(38.478.000),-,(38.478.000),-38478000.0,,-38478000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,289.078.074.497,636.363.636,289.714.438.133,289078074497.0,636363636.0,289714438133.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,190.664.933.648,636.363.636,191.301.297.284,190664933648.0,636363636.0,191301297284.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,34.251.084.017,-,34.251.084.017,34251084017.0,,34251084017.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,(38.478.000),-,(38.478.000),-38478000.0,,-38478000.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,224.877.539.665,636.363.636,225.513.903.301,224877539665.0,636363636.0,225513903301.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,88.010.183.832,-,88.010.183.832,88010183832.0,,88010183832.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,64.200.534.832,-,64.200.534.832,64200534832.0,,64200534832.0
