row_label_raw,row_label_full,Mối quan hệ > Công ty TNHH MEATDeli HN(trước đây là “Công ty TNHH MNS Meat Hà Nam”),Bản chất giao dịch > Bán hàng hóa > Mua hàng hóa > Trả trước tiền mua hàng hóa > Phí hỗ trợ quản lý,Giá trị giao dịch > 2021VND > 683.951.377 > 789.887.621 > - > 7.822.891.631,Giá trị giao dịch > 2020VND > 792.079.105 > 16.643.859.512 > 498.592.776 > 13.624.058.876,Phải thu/(Phải trả) tại ngày > 31/12/2021VND > 248.956.759 > - > 5.377.861.008,Phải thu/(Phải trả) tại ngày > 1/1/2021VND > 22.632.600 > - > 498.592.776 > 7.564.922.630,numeric__Bản chất giao dịch > Bán hàng hóa > Mua hàng hóa > Trả trước tiền mua hàng hóa > Phí hỗ trợ quản lý,numeric__Giá trị giao dịch > 2021VND > 683.951.377 > 789.887.621 > - > 7.822.891.631,numeric__Giá trị giao dịch > 2020VND > 792.079.105 > 16.643.859.512 > 498.592.776 > 13.624.058.876,numeric__Phải thu/(Phải trả) tại ngày > 31/12/2021VND > 248.956.759 > - > 5.377.861.008,numeric__Phải thu/(Phải trả) tại ngày > 1/1/2021VND > 22.632.600 > - > 498.592.776 > 7.564.922.630
Công ty Cổ phần Masan MEATLife,Công ty Cổ phần Masan MEATLife,Công ty Cổ phần Masan MEATLife,Bán hàng hóa,76.855.801,141.696.375,2.800.001,1.800.002,,76855801.0,141696375.0,2800001.0,1800002.0
Công ty Cổ phần Masan MEATLife,Công ty Cổ phần Masan MEATLife,Công ty Cổ phần Masan MEATLife,Phí hỗ trợ quản lý,8.607.773.646,8.634.102.192,3.460.908.168,4.562.023.846,,8607773646.0,8634102192.0,3460908168.0,4562023846.0
Công ty TNHH MEATDeli Sài Gòn,Công ty TNHH MEATDeli Sài Gòn,Công ty TNHH MEATDeli Sài Gòn,Bán hàng hóa,284.914.631,22.816.576,114.244.571,25.098.232,,284914631.0,22816576.0,114244571.0,25098232.0
Công ty TNHH MEATDeli Sài Gòn,Công ty TNHH MEATDeli Sài Gòn,Công ty TNHH MEATDeli Sài Gòn,Mua hàng hóa,444.647.973,3.925.545,-,-,,444647973.0,3925545.0,,
Công ty TNHH MEATDeli Sài Gòn,Công ty TNHH MEATDeli Sài Gòn,Công ty TNHH MEATDeli Sài Gòn,Phí hỗ trợ quản lý,4.892.782.698,-,3.575.300.853,-,,4892782698.0,,3575300853.0,
Công ty TNHH Thực phẩm 3F VIỆT,Công ty TNHH Thực phẩm 3F VIỆT,Công ty TNHH Thực phẩm 3F VIỆT,Bán hàng hóa,45.258.334,-,16.300.106,-,,45258334.0,,16300106.0,
Công ty TNHH Thực phẩm 3F VIỆT,Công ty TNHH Thực phẩm 3F VIỆT,Công ty TNHH Thực phẩm 3F VIỆT,Mua hàng hóa,34.522.000,-,-,-,,34522000.0,,,
Công ty Cổ phần 3F VIỆT,Công ty Cổ phần 3F VIỆT,Công ty Cổ phần 3F VIỆT,Bán hàng hóa,24.399.003,-,-,-,,24399003.0,,,
Công ty TNHH Khai thác Chế biếnKhoáng sản Núi Pháo,Công ty TNHH Khai thác Chế biếnKhoáng sản Núi Pháo,Công ty TNHH Khai thác Chế biếnKhoáng sản Núi Pháo,Bán hàng hóa,1.180.851.176,1.321.145.309,80.359.849,86.774.470,,1180851176.0,1321145309.0,80359849.0,86774470.0
Công ty TNHH Khai thác Chế biếnKhoáng sản Núi Pháo,Công ty TNHH Khai thác Chế biếnKhoáng sản Núi Pháo,Công ty TNHH Khai thác Chế biếnKhoáng sản Núi Pháo,Phí hỗ trợ quản lý,786.572.799,1.273.608.625,865.230.079,4.439.840.974,,786572799.0,1273608625.0,865230079.0,4439840974.0
Công ty Cổ phần Masan Blue,Công ty Cổ phần Masan Blue,Công ty Cổ phần Masan Blue,Bán hàng hóa,-,122.360.755,-,-,,,122360755.0,,
Công ty Cổ phần Tập đoàn Masan,Công ty Cổ phần Tập đoàn Masan,Công ty Cổ phần Tập đoàn Masan,Bán hàng hóa,84.243.994,4.457.415.831,5.739.999,-,,84243994.0,4457415831.0,5739999.0,
Công ty Cổ phần Tập đoàn Masan,Công ty Cổ phần Tập đoàn Masan,Công ty Cổ phần Tập đoàn Masan,Phí hỗ trợ quản lý,2.209.168.281,3.061.474.525,2.430.085.109,3.367.621.978,,2209168281.0,3061474525.0,2430085109.0,3367621978.0
