row_label_raw,row_label_full,Mối quan hệ,Bản chất giao dịch,Giá trị giao dịch > 2021 VND,Giá trị giao dịch > 2020 VND,Phải thu/(Phải trả) tại ngày > 31/12/2021 VND,Phải thu/(Phải trả) tại ngày > 1/1/2021 VND,numeric__Bản chất giao dịch,numeric__Giá trị giao dịch > 2021 VND,numeric__Giá trị giao dịch > 2020 VND,numeric__Phải thu/(Phải trả) tại ngày > 31/12/2021 VND,numeric__Phải thu/(Phải trả) tại ngày > 1/1/2021 VND
Công ty TNHH MNS FeedVĩnh Long (*),Công ty TNHH MNS FeedVĩnh Long (*),Công ty TNHH MNS FeedVĩnh Long (*),Bán hàng hóa,-,2.236.364,-,-,,,2236364.0,,
Công ty TNHH MNS FeedVĩnh Long (*),Công ty TNHH MNS FeedVĩnh Long (*),Công ty TNHH MNS FeedVĩnh Long (*),Phí hỗ trợ quản lý,350.471.478,305.774.592,-,158.544.470,,350471478.0,305774592.0,,158544470.0
Công ty TNHH MNS FeedHậu Giang (*),Công ty TNHH MNS FeedHậu Giang (*),Công ty TNHH MNS FeedHậu Giang (*),Bán hàng hóa,5.112.473,11.330.909,-,-,,5112473.0,11330909.0,,
Công ty TNHH MNS FeedHậu Giang (*),Công ty TNHH MNS FeedHậu Giang (*),Công ty TNHH MNS FeedHậu Giang (*),Phí hỗ trợ quản lý,926.480.372,783.660.463,-,403.572.318,,926480372.0,783660463.0,,403572318.0
Công ty TNHH MNS FeedNghệ An (*),Công ty TNHH MNS FeedNghệ An (*),Công ty TNHH MNS FeedNghệ An (*),Bán hàng hóa,61.777.682,79.429.090,-,-,,61777682.0,79429090.0,,
Công ty TNHH MNS FeedNghệ An (*),Công ty TNHH MNS FeedNghệ An (*),Công ty TNHH MNS FeedNghệ An (*),Phí hỗ trợ quản lý,1.336.358.229,1.066.209.157,-,550.479.112,,1336358229.0,1066209157.0,,550479112.0
Công ty Cổ phần Việt – PhápSản xuất Thức ăn Gia súc (*),Công ty Cổ phần Việt – PhápSản xuất Thức ăn Gia súc (*),Công ty Cổ phần Việt – PhápSản xuất Thức ăn Gia súc (*),Bán hàng hóa,185.825.652,229.103.459,-,5.280.001,,185825652.0,229103459.0,,5280001.0
Công ty Cổ phần Việt – PhápSản xuất Thức ăn Gia súc (*),Công ty Cổ phần Việt – PhápSản xuất Thức ăn Gia súc (*),Công ty Cổ phần Việt – PhápSản xuất Thức ăn Gia súc (*),Phí hỗ trợ quản lý,5.128.778.050,5.113.037.788,-,2.636.848.112,,5128778050.0,5113037788.0,,2636848112.0
Công ty TNHH Một Thành viênCon cò Cần Thơ (*),Công ty TNHH Một Thành viênCon cò Cần Thơ (*),Công ty TNHH Một Thành viênCon cò Cần Thơ (*),Bán hàng hóa,24.399.000,51.734.545,-,-,,24399000.0,51734545.0,,
Công ty TNHH Một Thành viênCon cò Cần Thơ (*),Công ty TNHH Một Thành viênCon cò Cần Thơ (*),Công ty TNHH Một Thành viênCon cò Cần Thơ (*),Phí hỗ trợ quản lý,1.925.292.913,2.218.852.516,-,1.143.397.827,,1925292913.0,2218852516.0,,1143397827.0
Công ty TNHH Con cò Bình Định (*),Công ty TNHH Con cò Bình Định (*),Công ty TNHH Con cò Bình Định (*),Bán hàng hóa,9.643.263,16.101.818,-,-,,9643263.0,16101818.0,,
Công ty TNHH Con cò Bình Định (*),Công ty TNHH Con cò Bình Định (*),Công ty TNHH Con cò Bình Định (*),Phí hỗ trợ quản lý,1.318.958.768,1.273.739.897,-,657.801.465,,1318958768.0,1273739897.0,,657801465.0
Công ty TNHH Sản xuất vàThương mại Proconco Hưng Yên (*),Công ty TNHH Sản xuất vàThương mại Proconco Hưng Yên (*),Công ty TNHH Sản xuất vàThương mại Proconco Hưng Yên (*),Bán hàng hóa,11.460.909,7.781.636,-,-,,11460909.0,7781636.0,,
Công ty TNHH Sản xuất vàThương mại Proconco Hưng Yên (*),Công ty TNHH Sản xuất vàThương mại Proconco Hưng Yên (*),Công ty TNHH Sản xuất vàThương mại Proconco Hưng Yên (*),Phí hỗ trợ quản lý,266.827.937,264.268.445,-,137.079.999,,266827937.0,264268445.0,,137079999.0
Thành viên quản lý chủ chốt,Thành viên quản lý chủ chốt,Thành viên quản lý chủ chốt,Thù lao trả cho thành viên quản lýchủ chốt,24.263.703.783,11.859.304.811,-,-,,24263703783.0,11859304811.0,,
