row_label_raw,row_label_full,col_0,Quá hạnTriệu đồng,Khôngchịu lãiTriệu đồng,Thời hạn định lại lãi suất,Thời hạn định lại lãi suất_1,Thời hạn định lại lãi suất_2,Thời hạn định lại lãi suất_3,Thời hạn định lại lãi suất_4,Thời hạn định lại lãi suất_5,Tổng cộngTriệu đồng,numeric__Quá hạnTriệu đồng,numeric__Khôngchịu lãiTriệu đồng,numeric__Thời hạn định lại lãi suất,numeric__Thời hạn định lại lãi suất_1,numeric__Thời hạn định lại lãi suất_2,numeric__Thời hạn định lại lãi suất_3,numeric__Thời hạn định lại lãi suất_4,numeric__Thời hạn định lại lãi suất_5,numeric__Tổng cộngTriệu đồng
,,,Quá hạnTriệu đồng,Khôngchịu lãiTriệu đồng,Đến 1thángTriệu đồng,Từ 1 - 3thángTriệu đồng,Từ 3 - 6thángTriệu đồng,Từ 6 - 12thángTriệu đồng,Từ 1 - 5nămTriệu đồng,Trên 5nămTriệu đồng,Tổng cộngTriệu đồng,,,,,,,,,
Tải sản,Tải sản,Tải sản,,,,,,,,,,,,,,,,,,
Tiền mặt và vàng,Tải sản > Tiền mặt và vàng,Tiền mặt và vàng,-,1.936.330,-,-,-,-,-,-,1.936.330,,1936330.0,,,,,,,1936330.0
Tiền gửi tại NHNN Việt Nam,Tải sản > Tiền gửi tại NHNN Việt Nam,Tiền gửi tại NHNN Việt Nam,-,-,3.392.981,-,-,-,-,-,3.392.981,,,3392981.0,,,,,,3392981.0
Tiền gửi tại và cho vay các TCTD khác,Tải sản > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,-,25.206.015,-,-,-,-,-,25.206.015,,,25206015.0,,,,,,25206015.0
Các công cụ tài chính phải sinh và cáctài sản tài chính khác,Tải sản > Các công cụ tài chính phải sinh và cáctài sản tài chính khác,Các công cụ tài chính phải sinh và cáctài sản tài chính khác,-,4.262,-,-,-,-,-,-,4.262,,4262.0,,,,,,,4262.0
Cho vay khách hàng - gộp,Tải sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,3.252.596,-,26.454.858,35.036.971,29.539.264,10.835.442,2.079.871,7.475.628,114.674.630,3252596.0,,26454858.0,35036971.0,29539264.0,10835442.0,2079871.0,7475628.0,114674630.0
Chứng khoản đầu tư - gộp,Tải sản > Chứng khoản đầu tư - gộp,Chứng khoản đầu tư - gộp,-,212.868,251.467,1.288.932,900.778,1.701.144,4.109.603,7.541.836,16.006.628,,212868.0,251467.0,1288932.0,900778.0,1701144.0,4109603.0,7541836.0,16006628.0
Tải sản cố định,Tải sản > Tải sản cố định,Tải sản cố định,-,3.357.843,-,-,-,-,-,-,3.357.843,,3357843.0,,,,,,,3357843.0
Tải sản Có khác - gộp,Tải sản > Tải sản Có khác - gộp,Tải sản Có khác - gộp,429.979,2.738.907,-,-,-,-,-,-,3.168.886,429979.0,2738907.0,,,,,,,3168886.0
Tổng tài sản,Tải sản > Tổng tài sản,Tổng tài sản,3.682.575,8.250.210,55.305.321,36.325.903,30.440.042,12.536.586,6.189.474,15.017.464,167.747.575,3682575.0,8250210.0,55305321.0,36325903.0,30440042.0,12536586.0,6189474.0,15017464.0,167747575.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Các khoản nợ NHNN Việt Nam,Nợ phải trả > Các khoản nợ NHNN Việt Nam,Các khoản nợ NHNN Việt Nam,-,-,-,11.369,17.815,-,-,-,29.184,,,,11369.0,17815.0,,,,29184.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,7.615.859,-,-,-,-,-,7.615.859,,,7615859.0,,,,,,7615859.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,50.967.985,30.937.084,30.645.501,19.857.850,4.965.161,210,137.373.791,,,50967985.0,30937084.0,30645501.0,19857850.0,4965161.0,210.0,137373791.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,3.028.254,-,-,-,-,-,-,3.028.254,,3028254.0,,,,,,,3028254.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,3.028.254,58.583.844,30.948.453,30.663.316,19.857.850,4.965.161,210,148.047.088,,3028254.0,58583844.0,30948453.0,30663316.0,19857850.0,4965161.0,210.0,148047088.0
Mức chênh nhạy cảm với lãi suấtnội bằng,Nợ phải trả > Mức chênh nhạy cảm với lãi suấtnội bằng,Mức chênh nhạy cảm với lãi suấtnội bằng,3.682.575,5.221.956,(3.278.523),5.377.450,(223.274),(7.321.264),1.224.313,15.017.254,19.700.487,3682575.0,5221956.0,-3278523.0,5377450.0,-223274.0,-7321264.0,1224313.0,15017254.0,19700487.0
