row_label_raw,row_label_full,col_0,Năm nayTriệu đồng,Năm trướcTriệu đồng,numeric__Năm nayTriệu đồng,numeric__Năm trướcTriệu đồng
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,1.205.066,1.339.526,1205066.0,1339526.0
Thuế TNDN theo thuế suất 20% áp dụng cho Ngân hàng và công ty con,Thuế TNDN theo thuế suất 20% áp dụng cho Ngân hàng và công ty con,Thuế TNDN theo thuế suất 20% áp dụng cho Ngân hàng và công ty con,241.013,267.905,241013.0,267905.0
Các khoản điều chỉnh giảm: (*),Các khoản điều chỉnh giảm: (*),Các khoản điều chỉnh giảm: (*),,,,
- Thu nhập không chịu thuế,Các khoản điều chỉnh giảm: (*) > - Thu nhập không chịu thuế,- Thu nhập không chịu thuế,(13.433),(2.170),-13433.0,-2170.0
Các khoản điều chỉnh tăng: (*),Các khoản điều chỉnh tăng: (*),Các khoản điều chỉnh tăng: (*),,,,
- Chi phí không được trừ,Các khoản điều chỉnh tăng: (*) > - Chi phí không được trừ,- Chi phí không được trừ,391,2.005,391.0,2005.0
Điều chỉnh do hợp nhất bảo cáo tài chính,Các khoản điều chỉnh tăng: (*) > Điều chỉnh do hợp nhất bảo cáo tài chính,Điều chỉnh do hợp nhất bảo cáo tài chính,11.942,1.560,11942.0,1560.0
Điều chỉnh khác,Các khoản điều chỉnh tăng: (*) > Điều chỉnh khác,Điều chỉnh khác,-,1.661,,1661.0
Chi phí thuế TNDN ước tính trong năm,Các khoản điều chỉnh tăng: (*) > Chi phí thuế TNDN ước tính trong năm,Chi phí thuế TNDN ước tính trong năm,239.913,270.961,239913.0,270961.0
Chi phí thuế TNDN được giảm (**),Các khoản điều chỉnh tăng: (*) > Chi phí thuế TNDN được giảm (**),Chi phí thuế TNDN được giảm (**),(284),(1.616),-284.0,-1616.0
Chi phí thuế TNDN ước tính trong năm,Các khoản điều chỉnh tăng: (*) > Chi phí thuế TNDN ước tính trong năm,Chi phí thuế TNDN ước tính trong năm,239.629,269.345,239629.0,269345.0
