row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Máy mócthiết bịTriệu đồng,Phương tiệnvận tảiTriệu đồng,"Thiết bị,dụng cụ quản lýTriệu đồng",KhácTriệu đồng,Tổng cộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Máy mócthiết bịTriệu đồng,numeric__Phương tiệnvận tảiTriệu đồng,"numeric__Thiết bị,dụng cụ quản lýTriệu đồng",numeric__KhácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Ngày 31 tháng 12 năm 2020,Nguyên giá > Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,500.914,798.732,240.253,47.311,508.335,2.095.545,500914.0,798732.0,240253.0,47311.0,508335.0,2095545.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,31.211,85.151,-,2.145,20.752,139.259,31211.0,85151.0,,2145.0,20752.0,139259.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(42.297),(31.659),(4.029),(60.833),(138.818),,-42297.0,-31659.0,-4029.0,-60833.0,-138818.0
Điều chuyển nội bộ,Nguyên giá > Điều chuyển nội bộ,Điều chuyển nội bộ,-,(217),-,-,217,-,,-217.0,,,217.0,
Ngày 31 tháng 12 năm 2021,Nguyên giá > Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,532.125,841.369,208.594,45.427,468.471,2.095.986,532125.0,841369.0,208594.0,45427.0,468471.0,2095986.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,,
Ngày 31 tháng 12 năm 2020,Giá trị hao mòn luỹ kế > Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,89.465,599.287,195.128,43.338,416.509,1.343.727,89465.0,599287.0,195128.0,43338.0,416509.0,1343727.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,12.879,44.630,9.985,2.430,34.545,104.469,12879.0,44630.0,9985.0,2430.0,34545.0,104469.0
"Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(42.258),(25.064),(4.029),(59.727),(131.078),,-42258.0,-25064.0,-4029.0,-59727.0,-131078.0
Điều chuyển nội bộ,Giá trị hao mòn luỹ kế > Điều chuyển nội bộ,Điều chuyển nội bộ,-,(217),-,-,217,-,,-217.0,,,217.0,
Ngày 31 tháng 12 năm 2021,Giá trị hao mòn luỹ kế > Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,102.344,601.442,180.049,41.739,391.544,1.317.118,102344.0,601442.0,180049.0,41739.0,391544.0,1317118.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Ngày 31 tháng 12 năm 2020,Giá trị còn lại > Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,411.449,199.445,45.125,3.973,91.826,751.818,411449.0,199445.0,45125.0,3973.0,91826.0,751818.0
Ngày 31 tháng 12 năm 2021,Giá trị còn lại > Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,429.781,239.927,28.545,3.688,76.927,778.868,429781.0,239927.0,28545.0,3688.0,76927.0,778868.0
