row_label_raw,row_label_full,col_0,Giá trị ghi sổ > Kinh doanhTriệu đồng,Giá trị ghi sổ > Giữ đếngày đảo hạnTriệu đồng,Giá trị ghi sổ > Cho vay vàphải thuTriệu đồng,Giá trị ghi sổ > Sản sàngđể bánTriệu đồng,Giá trị ghi sổ > Tài sản khácvà nợ tài chínhhạch toán theogiá trị phân bổTriệu đồng,Giá trị ghi sổ > Tổng cộnggiá trị ghi sổTriệu đồng,Giá trị ghi sổ > Giá trị hợp lýTriệu đồng,numeric__Giá trị ghi sổ > Kinh doanhTriệu đồng,numeric__Giá trị ghi sổ > Giữ đếngày đảo hạnTriệu đồng,numeric__Giá trị ghi sổ > Cho vay vàphải thuTriệu đồng,numeric__Giá trị ghi sổ > Sản sàngđể bánTriệu đồng,numeric__Giá trị ghi sổ > Tài sản khácvà nợ tài chínhhạch toán theogiá trị phân bổTriệu đồng,numeric__Giá trị ghi sổ > Tổng cộnggiá trị ghi sổTriệu đồng,numeric__Giá trị ghi sổ > Giá trị hợp lýTriệu đồng
Tải sản tài chính,Tải sản tài chính,Tải sản tài chính,,,,,,,,,,,,,,
Tiền mặt và vàng,Tải sản tài chính > Tiền mặt và vàng,Tiền mặt và vàng,-,-,-,-,1.936.330,1.936.330,1.936.330,,,,,1936330.0,1936330.0,1936330.0
Tiền gửi tại NHNN Việt Nam,Tải sản tài chính > Tiền gửi tại NHNN Việt Nam,Tiền gửi tại NHNN Việt Nam,-,-,-,-,3.392.981,3.392.981,3.392.981,,,,,3392981.0,3392981.0,3392981.0
Tiền gửi tại và cho vay các TCTD khác,Tải sản tài chính > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,-,-,-,25.206.015,25.206.015,(*),,,,,25206015.0,25206015.0,
Các công cụ tài chính phải sinh và cáctài sản tài chính khác,Tải sản tài chính > Các công cụ tài chính phải sinh và cáctài sản tài chính khác,Các công cụ tài chính phải sinh và cáctài sản tài chính khác,4.262,-,-,-,-,4.262,,4262.0,,,,,4262.0,
Cho vay khách hàng,Tải sản tài chính > Cho vay khách hàng,Cho vay khách hàng,-,-,113.308.080,-,-,113.308.080,(*),,,113308080.0,,,113308080.0,
Chứng khoán đầu tư,Tải sản tài chính > Chứng khoán đầu tư,Chứng khoán đầu tư,-,8.652.217,-,7.228.361,-,15.880.578,(*),,8652217.0,,7228361.0,,15880578.0,
Tài sản tài chính khác,Tải sản tài chính > Tài sản tài chính khác,Tài sản tài chính khác,-,-,1.542.074,,-,1.542.074,(*),,,1542074.0,,,1542074.0,
,,,4.262,8.652.217,114.850.154,7.228.361,30.535.326,161.270.320,,4262.0,8652217.0,114850154.0,7228361.0,30535326.0,161270320.0,
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,,,,,,,,,,,
Các khoản nợ NHNN Việt Nam,Nợ phải trả tài chính > Các khoản nợ NHNN Việt Nam,Các khoản nợ NHNN Việt Nam,-,-,-,-,29.184,29.184,(*),,,,,29184.0,29184.0,
Tiền gửi và vay các TCTD khác,Nợ phải trả tài chính > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,-,-,7.615.859,7.615.859,(*),,,,,7615859.0,7615859.0,
Tiền gửi của khách hàng,Nợ phải trả tài chính > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,-,137.373.791,137.373.791,(*),,,,,137373791.0,137373791.0,
Các khoản nợ tài chính khác,Nợ phải trả tài chính > Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,-,-,-,-,2.874.091,2.874.091,(*),,,,,2874091.0,2874091.0,
,,,-,-,-,-,147.892.925,147.892.925,,,,,,147892925.0,147892925.0,
