row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12năm 2021Triệu đồng,Ngày 31 tháng 12năm 2020Triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng 12năm 2021Triệu đồng,numeric__Ngày 31 tháng 12năm 2020Triệu đồng
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,
Các khoản nợ Ngân hàng Nhà nước Việt Nam,NỘ PHẢI TRẢ > Các khoản nợ Ngân hàng Nhà nước Việt Nam,Các khoản nợ Ngân hàng Nhà nước Việt Nam,14,29.184,33.805,14.0,29184.0,33805.0
Tiền gửi và vay các TCTD khác,NỘ PHẢI TRẢ > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,15,7.615.859,6.320.362,15.0,7615859.0,6320362.0
Tiền gửi của các TCTD khác,NỘ PHẢI TRẢ > Tiền gửi của các TCTD khác,Tiền gửi của các TCTD khác,15.1,7.615.859,5.627.362,151.0,7615859.0,5627362.0
Vay các TCTD khác,NỘ PHẢI TRẢ > Vay các TCTD khác,Vay các TCTD khác,15.2,-,693.000,152.0,,693000.0
Tiền gửi của khách hàng,NỘ PHẢI TRẢ > Tiền gửi của khách hàng,Tiền gửi của khách hàng,16,137.373.791,133.917.740,16.0,137373791.0,133917740.0
Các khoản nợ khác,NỘ PHẢI TRẢ > Các khoản nợ khác,Các khoản nợ khác,,3.028.254,3.343.780,,3028254.0,3343780.0
"Các khoản lãi, phí phải trả","NỘ PHẢI TRẢ > Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả",17.1,2.301.087,2.402.606,171.0,2301087.0,2402606.0
Các khoản phải trả và công nợ khác,NỘ PHẢI TRẢ > Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,17.2,727.167,941.174,172.0,727167.0,941174.0
TỔNG NỘ PHẢI TRẢ,NỘ PHẢI TRẢ > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,,148.047.088,143.615.687,,148047088.0,143615687.0
VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,,,
Vốn,Vốn,Vốn,,,,,,
Vốn điều lệ,Vốn > Vốn điều lệ,Vốn điều lệ,,12.355.229,12.355.229,,12355229.0,12355229.0
Vốn đầu tư xây dựng cơ bản và mua sắm tài sản cố định,Vốn > Vốn đầu tư xây dựng cơ bản và mua sắm tài sản cố định,Vốn đầu tư xây dựng cơ bản và mua sắm tài sản cố định,,15.396,15.396,,15396.0,15396.0
Thắng dư vốn cổ phần,Vốn > Thắng dư vốn cổ phần,Thắng dư vốn cổ phần,,156.322,156.322,,156322.0,156322.0
Cổ phiếu quỹ,Vốn > Cổ phiếu quỹ,Cổ phiếu quỹ,,(78.273),(78.273),,-78273.0,-78273.0
Các quỹ dự trữ,Vốn > Các quỹ dự trữ,Các quỹ dự trữ,,2.130.576,1.976.822,,2130576.0,1976822.0
Lợi nhuận chưa phân phối,Vốn > Lợi nhuận chưa phân phối,Lợi nhuận chưa phân phối,,3.205.658,2.393.994,,3205658.0,2393994.0
TỔNG VỐN CHỦ SỞ HỮU,Vốn > TỔNG VỐN CHỦ SỞ HỮU,TỔNG VỐN CHỦ SỞ HỮU,19.1,17.784.908,16.819.490,191.0,17784908.0,16819490.0
TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,Vốn > TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,165.831.996,160.435.177,,165831996.0,160435177.0
