row_label_raw,row_label_full,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2021,Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng)Triệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2021,Giá trị ghi số kế toán ròng (theo tỷ giá tại ngày lập báo cáo) > Tải sảnTriệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2021,Giá trị ghi số kế toán ròng (theo tỷ giá tại ngày lập báo cáo) > Nợ phải trảTriệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2021,numeric__Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng)Triệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2021,numeric__Giá trị ghi số kế toán ròng (theo tỷ giá tại ngày lập báo cáo) > Tải sảnTriệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2021,numeric__Giá trị ghi số kế toán ròng (theo tỷ giá tại ngày lập báo cáo) > Nợ phải trảTriệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2021
Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,20.715.840,75.266,-,20715840.0,75266.0,
Giao dịch hoán đối tiền tệ,Giao dịch hoán đối tiền tệ,Giao dịch hoán đối tiền tệ,23.590.882,-,(71.004),23590882.0,,-71004.0
,,,44.306.722,75.266,(71.004),44306722.0,75266.0,-71004.0
Số thuần,Số thuần,Số thuần,,4.262,,,4262.0,
Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2020,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2020,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2020,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2020,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2020,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2020,,,
Giao dịch kỳ hạn tiền tệ,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2020 > Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,14.135.810,35.481,-,14135810.0,35481.0,
Giao dịch hoán đối tiền tệ,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2020 > Giao dịch hoán đối tiền tệ,Giao dịch hoán đối tiền tệ,28.225.821,13.592,-,28225821.0,13592.0,
,,,42.361.631,49.073,-,42361631.0,49073.0,
Số thuần,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2020 > Số thuần,Số thuần,,49.073,,,49073.0,
