row_label_raw,row_label_full,col_0,Miền BắcTriệu đồng,Miền TrungTriệu đồng,Miền NamTriệu đồng,Tổng bộ phậnđã báo cáoTriệu đồng,Loại trừTriệu đồng,Tổng cộngTriệu đồng,numeric__Miền BắcTriệu đồng,numeric__Miền TrungTriệu đồng,numeric__Miền NamTriệu đồng,numeric__Tổng bộ phậnđã báo cáoTriệu đồng,numeric__Loại trừTriệu đồng,numeric__Tổng cộngTriệu đồng
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,3.032.623(2.449.042),1.875.655(1.481.880),20.548.810(18.001.864),25.457.088(21.932.786),(15.372.597)15.372.597,10.084.491(6.560.189),,,,,,
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,3.032.623(2.449.042),1.875.655(1.481.880),20.548.810(18.001.864),25.457.088(21.932.786),(15.372.597)15.372.597,10.084.491(6.560.189),,,,,,
Thu nhập lãi thuần,Chi phí lãi và các chi phí tương tự > Thu nhập lãi thuần,Thu nhập lãi thuần,583.581,393.775,2.546.946,3.524.302,-,3.524.302,583581.0,393775.0,2546946.0,3524302.0,,3524302.0
Các khoản thu nhập ngoài lãi,Chi phí lãi và các chi phí tương tự > Các khoản thu nhập ngoài lãi,Các khoản thu nhập ngoài lãi,94.013,31.241,1.059.793,1.185.047,-,1.185.047,94013.0,31241.0,1059793.0,1185047.0,,1185047.0
TỔNG THU NHẬP HOẠT ĐỘNG,Chi phí lãi và các chi phí tương tự > TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,677.594,425.016,3.606.739,4.709.349,-,4.709.349,677594.0,425016.0,3606739.0,4709349.0,,4709349.0
TỔNG CHI PHỊ HOẠT ĐỘNG,Chi phí lãi và các chi phí tương tự > TỔNG CHI PHỊ HOẠT ĐỘNG,TỔNG CHI PHỊ HOẠT ĐỘNG,(294.063),(207.015),(2.013.081),(2.514.159),-,(2.514.159),-294063.0,-207015.0,-2013081.0,-2514159.0,,-2514159.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phíđự phòng rủi ro tin dụng,Chi phí lãi và các chi phí tương tự > Lợi nhuận thuần từ hoạt động kinh doanh trước chi phíđự phòng rủi ro tin dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phíđự phòng rủi ro tin dụng,383.531,218.001,1.593.658,2.195.190,-,2.195.190,383531.0,218001.0,1593658.0,2195190.0,,2195190.0
Chi phí dự phòng rủi ro tin dụng,Chi phí lãi và các chi phí tương tự > Chi phí dự phòng rủi ro tin dụng,Chi phí dự phòng rủi ro tin dụng,(342.742),(259.779),(387.603),(990.124),-,(990.124),-342742.0,-259779.0,-387603.0,-990124.0,,-990124.0
TỔNG LỢI NHUẬN TRƯỚC THUẾ,Chi phí lãi và các chi phí tương tự > TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,40.789,(41.778),1.206.055,1.205.066,-,1.205.066,40789.0,-41778.0,1206055.0,1205066.0,,1205066.0
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,,,
Tiền mặt và vàng,TÀI SẢN > Tiền mặt và vàng,Tiền mặt và vàng,335.187,350.473,1.250.670,1.936.330,-,1.936.330,335187.0,350473.0,1250670.0,1936330.0,,1936330.0
Tiền gửi tại và cho vay NHNN Việt Namvà các TCTD khác,TÀI SẢN > Tiền gửi tại và cho vay NHNN Việt Namvà các TCTD khác,Tiền gửi tại và cho vay NHNN Việt Namvà các TCTD khác,22.806,8.750,28.567.440,28.598.996,-,28.598.996,22806.0,8750.0,28567440.0,28598996.0,,28598996.0
Các công cụ tài chính phải sinh và các tài sản tài chínhkhác,TÀI SẢN > Các công cụ tài chính phải sinh và các tài sản tài chínhkhác,Các công cụ tài chính phải sinh và các tài sản tài chínhkhác,-,-,4.262,4.262,-,4.262,,,4262.0,4262.0,,4262.0
Cho vay khách hàng – gộp,TÀI SẢN > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,17.668.714,15.518.265,81.487.651,114.674.630,-,114.674.630,17668714.0,15518265.0,81487651.0,114674630.0,,114674630.0
Đầu tư – gộp,TÀI SẢN > Đầu tư – gộp,Đầu tư – gộp,-,-,16.006.628,16.006.628,-,16.006.628,,,16006628.0,16006628.0,,16006628.0
Tài sản cố định,TÀI SẢN > Tài sản cố định,Tài sản cố định,21.822,10.515,3.325.506,3.357.843,-,3.357.843,21822.0,10515.0,3325506.0,3357843.0,,3357843.0
Tài sản khác – gộp,TÀI SẢN > Tài sản khác – gộp,Tài sản khác – gộp,11.826.233,92.048,2.926.996,14.845.277,(11.676.391),3.168.886,11826233.0,92048.0,2926996.0,14845277.0,-11676391.0,3168886.0
