row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2021Triệu đồng,Ngày 31 tháng 12năm 2020Triệu đồng,numeric__Ngày 31 tháng 12năm 2021Triệu đồng,numeric__Ngày 31 tháng 12năm 2020Triệu đồng
Tiền gửi của tổ chức kinh tế,Tiền gửi của tổ chức kinh tế,Tiền gửi của tổ chức kinh tế,46.089.596,44.969.361,46089596.0,44969361.0
Công ty TNHH khác,Công ty TNHH khác,Công ty TNHH khác,17.985.463,18.500.692,17985463.0,18500692.0
Công ty cổ phần khác,Công ty cổ phần khác,Công ty cổ phần khác,16.890.007,14.243.354,16890007.0,14243354.0
Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,5.583.332,4.991.513,5583332.0,4991513.0
Công ty cổ phần có vốn cổ phần của Nhà nướcchiếm trên 50% vốn điều lệ hoặc tổng số cổphản có quyền biểu quyết; hoặc Nhà nước giữquyền chỉ phối đối với công ty trong Điều lệ củacông ty,Công ty cổ phần có vốn cổ phần của Nhà nướcchiếm trên 50% vốn điều lệ hoặc tổng số cổphản có quyền biểu quyết; hoặc Nhà nước giữquyền chỉ phối đối với công ty trong Điều lệ củacông ty,Công ty cổ phần có vốn cổ phần của Nhà nướcchiếm trên 50% vốn điều lệ hoặc tổng số cổphản có quyền biểu quyết; hoặc Nhà nước giữquyền chỉ phối đối với công ty trong Điều lệ củacông ty,1.811.627,1.649.340,1811627.0,1649340.0
Công ty nhà nước,Công ty nhà nước,Công ty nhà nước,1.686.384,2.156.225,1686384.0,2156225.0
Công ty TNHH một thành viên do Nhà nước sở hữu 100% vốn điều lệ,Công ty TNHH một thành viên do Nhà nước sở hữu 100% vốn điều lệ,Công ty TNHH một thành viên do Nhà nước sở hữu 100% vốn điều lệ,1.097.891,1.801.684,1097891.0,1801684.0
"Đơn vị hành chính sự nghiệp, Đảng, đoàn thểvà hiệp hỏi","Đơn vị hành chính sự nghiệp, Đảng, đoàn thểvà hiệp hỏi","Đơn vị hành chính sự nghiệp, Đảng, đoàn thểvà hiệp hỏi",216.209,307.943,216209.0,307943.0
Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,71.972,51.050,71972.0,51050.0
Công ty trách nhiệm hữu hạn 2 thành viên trởlên có phần vốn góp của Nhà nước trên 50%vốn điều lệ hoặc Nhà nước giữ quyền chỉ phối,Công ty trách nhiệm hữu hạn 2 thành viên trởlên có phần vốn góp của Nhà nước trên 50%vốn điều lệ hoặc Nhà nước giữ quyền chỉ phối,Công ty trách nhiệm hữu hạn 2 thành viên trởlên có phần vốn góp của Nhà nước trên 50%vốn điều lệ hoặc Nhà nước giữ quyền chỉ phối,34.873,258.464,34873.0,258464.0
Hộ kinh doanh,Hộ kinh doanh,Hộ kinh doanh,32.794,30.607,32794.0,30607.0
Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,9.225,8.575,9225.0,8575.0
Công ty hợp danh,Công ty hợp danh,Công ty hợp danh,2.240,1.417,2240.0,1417.0
Khác,Khác,Khác,667.579,968.497,667579.0,968497.0
Tiền gửi của cá nhân,Tiền gửi của cá nhân,Tiền gửi của cá nhân,91.284.195,88.948.379,91284195.0,88948379.0
,,,137.373.791,133.917.740,137373791.0,133917740.0
