row_label_raw,row_label_full,Họ và tên,Chức vụ,Năm nayTriệu đồng,Năm trướcTriệu đồng,numeric__Chức vụ,numeric__Năm nayTriệu đồng,numeric__Năm trướcTriệu đồng
Ông Yasuhiro Saitoh,Ông Yasuhiro Saitoh,Ông Yasuhiro Saitoh,Chủ tịch,1.188,1.188,,1188.0,1188.0
Ông Nguyễn Quang Thông,Ông Nguyễn Quang Thông,Ông Nguyễn Quang Thông,Phó Chủ tịch,1.188,1.188,,1188.0,1188.0
Ông Lê Minh Quốc,Ông Lê Minh Quốc,Ông Lê Minh Quốc,Thành viên độc lập,1.188,1.188,,1188.0,1188.0
Ông Cao Xuân Ninh,Ông Cao Xuân Ninh,Ông Cao Xuân Ninh,Thành viên,1.188,1.188,,1188.0,1188.0
Ông Đặng Anh Mai,Ông Đặng Anh Mai,Ông Đặng Anh Mai,Thành viên,-,-,,,
Ông Hoàng Tuấn Khải,Ông Hoàng Tuấn Khải,Ông Hoàng Tuấn Khải,Thành viên,-,-,,,
Ông Ngô Thanh Tùng,Ông Hoàng Tuấn Khải > Ông Ngô Thanh Tùng,Ông Ngô Thanh Tùng,Thành viên,1.188,1.188,,1188.0,1188.0
Ông Lê Văn Quyết,Ông Hoàng Tuấn Khải > Ông Lê Văn Quyết,Ông Lê Văn Quyết,Thành viên,693,-,,693.0,
Bà Lương Thị Cẩm Tú,Bà Lương Thị Cẩm Tú,Bà Lương Thị Cẩm Tú,Thành viên,-,-,,,
Tổng cộng (*),Bà Lương Thị Cẩm Tú > Tổng cộng (*),Tổng cộng (*),,6.633,5.940,,6633.0,5940.0
