row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2023,Quá hạn > Đến 3 tháng > Triệu VND,Quá hạn > Trên 3 tháng > Triệu VND,Trong hạn > Đến 1 tháng > Triệu VND,Trong hạn > Từ trên 1 đến 3 tháng > Triệu VND,Trong hạn > Từ trên 3 đến 12 tháng > Triệu VND,Trong hạn > Từ trên 1 năm đến 5 năm > Triệu VND,Trong hạn > Trên 5 năm > Triệu VND,Tổng > Triệu VND,numeric__Quá hạn > Đến 3 tháng > Triệu VND,numeric__Quá hạn > Trên 3 tháng > Triệu VND,numeric__Trong hạn > Đến 1 tháng > Triệu VND,numeric__Trong hạn > Từ trên 1 đến 3 tháng > Triệu VND,numeric__Trong hạn > Từ trên 3 đến 12 tháng > Triệu VND,numeric__Trong hạn > Từ trên 1 năm đến 5 năm > Triệu VND,numeric__Trong hạn > Trên 5 năm > Triệu VND,numeric__Tổng > Triệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,-,1.681.071,-,-,-,-,1.681.071,,,1681071.0,,,,,1681071.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,8.217.767,-,-,-,-,8.217.767,,,8217767.0,,,,,8217767.0
Tiền gửi và cho vay các TCTD khác - gộp,Tài sản > Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,-,-,57.486.913,5.722.577,4.988.084,-,-,68.197.574,,,57486913.0,5722577.0,4988084.0,,,68197574.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,156.721,-,-,-,-,156.721,,,156721.0,,,,,156721.0
Cho vay khách hàng và hoạt động mua nợ - gộp,Tài sản > Cho vay khách hàng và hoạt động mua nợ - gộp,Cho vay khách hàng và hoạt động mua nợ - gộp,1.760.678,1.646.262,11.373.291,23.190.821,84.140.986,56.882.857,87.367.145,266.362.040,1760678.0,1646262.0,11373291.0,23190821.0,84140986.0,56882857.0,87367145.0,266362040.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,42.380,5.647.135,8.199.192,29.273.814,7.013.034,10.823.103,60.998.658,,42380.0,5647135.0,8199192.0,29273814.0,7013034.0,10823103.0,60998658.0
"Gớp vốn, đầu tư dài hạn - gộp","Tài sản > Gớp vốn, đầu tư dài hạn - gộp","Gớp vốn, đầu tư dài hạn - gộp",-,-,-,-,-,-,69.667,69.667,,,,,,,69667.0,69667.0
Tài sản cố định và bất động sản đầu tư,Tài sản > Tài sản cố định và bất động sản đầu tư,Tài sản cố định và bất động sản đầu tư,-,-,-,-,-,-,758.668,758.668,,,,,,,758668.0,758668.0
Tài sản Có khác – gộp,Tài sản > Tài sản Có khác – gộp,Tài sản Có khác – gộp,-,-,3.909.759,567.784,3.253.887,-,-,7.731.430,,,3909759.0,567784.0,3253887.0,,,7731430.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,1.760.678,1.688.642,88.472.657,37.680.374,121.656.771,63.895.891,99.018.583,414.173.596,1760678.0,1688642.0,88472657.0,37680374.0,121656771.0,63895891.0,99018583.0,414173596.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,74.403.501,2.392.791,8.911.416,12.932.013,-,98.639.721,,,74403501.0,2392791.0,8911416.0,12932013.0,,98639721.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,84.050.588,38.956.248,87.124.519,26.445.811,100,236.577.266,,,84050588.0,38956248.0,87124519.0,26445811.0,100.0,236577266.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,2.174,4.756,-,-,6.930,,,,2174.0,4756.0,,,6930.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,1.110,-,5.892.126,16.003.700,2.000.000,23.896.936,,,1110.0,,5892126.0,16003700.0,2000000.0,23896936.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,4.256.663,-,8.564.270,-,-,12.820.933,,,4256663.0,,8564270.0,,,12820933.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,-,162.711.862,41.351.213,110.497.087,55.381.524,2.000.100,371.941.786,,,162711862.0,41351213.0,110497087.0,55381524.0,2000100.0,371941786.0
Mức chênh thanh khoản thuần,Nợ phải trả > Mức chênh thanh khoản thuần,Mức chênh thanh khoản thuần,1.760.678,1.688.642,(74.239.205),(3.670.839),11.159.684,8.514.367,97.018.483,42.231.810,1760678.0,1688642.0,-74239205.0,-3670839.0,11159684.0,8514367.0,97018483.0,42231810.0
