row_label_raw,row_label_full,Của khách hàng,31/12/2024Triệu VND,31/12/2023Triệu VND,numeric__31/12/2024Triệu VND,numeric__31/12/2023Triệu VND
Bất động sản,Bất động sản,Bất động sản,415.144.780,375.298.028,415144780.0,375298028.0
Phương tiện vận tải,Phương tiện vận tải,Phương tiện vận tải,76.096.187,83.813.423,76096187.0,83813423.0
Máy móc thiết bị,Máy móc thiết bị,Máy móc thiết bị,26.277.312,20.441.178,26277312.0,20441178.0
Quyền khai thác tài sản,Quyền khai thác tài sản,Quyền khai thác tài sản,20.111.880,17.078.213,20111880.0,17078213.0
Bảo lãnh,Bảo lãnh,Bảo lãnh,16.920.803,24.194.584,16920803.0,24194584.0
"Vàng, ngoại tệ, giấy tờ có giá","Vàng, ngoại tệ, giấy tờ có giá","Vàng, ngoại tệ, giấy tờ có giá",44.024.363,25.034.399,44024363.0,25034399.0
Hàng hóa lưu kho,Hàng hóa lưu kho,Hàng hóa lưu kho,19.272.474,14.776.809,19272474.0,14776809.0
Các tài sản bảo đảm khác,Các tài sản bảo đảm khác,Các tài sản bảo đảm khác,8.303.474,7.029.205,8303474.0,7029205.0
,,,626.151.273,567.665.839,626151273.0,567665839.0
Của các TCTD khác,Của các TCTD khác,Của các TCTD khác,31/12/2024Triệu VND,31/12/2023Triệu VND,,
Bảo lãnh,Của các TCTD khác > Bảo lãnh,Bảo lãnh,480.633,466.000,480633.0,466000.0
Quyền khai thác tài sản,Của các TCTD khác > Quyền khai thác tài sản,Quyền khai thác tài sản,26.403,26.403,26403.0,26403.0
Giấy tờ có giá,Của các TCTD khác > Giấy tờ có giá,Giấy tờ có giá,50.724.000,2.200.000,50724000.0,2200000.0
,,,51.231.036,2.692.403,51231036.0,2692403.0
