row_label_raw,row_label_full,col_0,2024Triệu VND,2023Triệu VND(Phân loại lại),numeric__2024Triệu VND,numeric__2023Triệu VND(Phân loại lại)
Thu nhập hoạt động dịch vụ từ,Thu nhập hoạt động dịch vụ từ,Thu nhập hoạt động dịch vụ từ,Thu nhập hoạt động dịch vụ từ,Thu nhập hoạt động dịch vụ từ,,
Dịch vụ thanh toán,Thu nhập hoạt động dịch vụ từ > Dịch vụ thanh toán,Dịch vụ thanh toán,2.401.066,2.359.965,2401066.0,2359965.0
Dịch vụ đại lý bảo hiểm,Thu nhập hoạt động dịch vụ từ > Dịch vụ đại lý bảo hiểm,Dịch vụ đại lý bảo hiểm,447.037,879.783,447037.0,879783.0
Dịch vụ khác,Thu nhập hoạt động dịch vụ từ > Dịch vụ khác,Dịch vụ khác,354.824,373.791,354824.0,373791.0
,,,3.202.927,3.613.539,3202927.0,3613539.0
Chi phí hoạt động dịch vụ cho,Chi phí hoạt động dịch vụ cho,Chi phí hoạt động dịch vụ cho,Chi phí hoạt động dịch vụ cho,Chi phí hoạt động dịch vụ cho,,
Dịch vụ thanh toán,Chi phí hoạt động dịch vụ cho > Dịch vụ thanh toán,Dịch vụ thanh toán,(960.341),(1.010.707),-960341.0,-1010707.0
Dịch vụ đại lý bảo hiểm,Chi phí hoạt động dịch vụ cho > Dịch vụ đại lý bảo hiểm,Dịch vụ đại lý bảo hiểm,(56.682),(38.639),-56682.0,-38639.0
Dịch vụ môi giới,Chi phí hoạt động dịch vụ cho > Dịch vụ môi giới,Dịch vụ môi giới,(176.270),(175.303),-176270.0,-175303.0
Cước phí bưu điện về mạng viễn thông,Chi phí hoạt động dịch vụ cho > Cước phí bưu điện về mạng viễn thông,Cước phí bưu điện về mạng viễn thông,(135.448),(154.510),-135448.0,-154510.0
Dịch vụ ủy thác và đại lý,Chi phí hoạt động dịch vụ cho > Dịch vụ ủy thác và đại lý,Dịch vụ ủy thác và đại lý,(48.853),(10.542),-48853.0,-10542.0
Dịch vụ khác,Chi phí hoạt động dịch vụ cho > Dịch vụ khác,Dịch vụ khác,(59.874),(20.575),-59874.0,-20575.0
,,,(1.437.468),(1.410.276),-1437468.0,-1410276.0
Lãi thuần từ hoạt động dịch vụ,Chi phí hoạt động dịch vụ cho > Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,1.765.459,2.203.263,1765459.0,2203263.0
