row_label_raw,row_label_full,col_0,2024Triệu VND,2023Triệu VND(Phân loại lại),numeric__2024Triệu VND,numeric__2023Triệu VND(Phân loại lại)
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,
Mua sắm tài sản cố định (“TSCĐ”),LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Mua sắm tài sản cố định (“TSCĐ”),Mua sắm tài sản cố định (“TSCĐ”),(225.579),(223.136),-225579.0,-223136.0
"Tiền thu từ thanh lý, nhượng bán TSCĐ","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu từ thanh lý, nhượng bán TSCĐ","Tiền thu từ thanh lý, nhượng bán TSCĐ",190,2.388,190.0,2388.0
"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư,góp vốn dài hạn","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư,góp vốn dài hạn","Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư,góp vốn dài hạn",3.746,3.345,3746.0,3345.0
LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG ĐẦU TƯ,(221.643),(217.403),-221643.0,-217403.0
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,
"Cổ tức trả cho cổ đông, lợi nhuận đã chia","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Cổ tức trả cho cổ đông, lợi nhuận đã chia","Cổ tức trả cho cổ đông, lợi nhuận đã chia",(3.171.009),(3.161.510),-3171009.0,-3161510.0
Tiền thu được do bán cổ phiếu lẻ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền thu được do bán cổ phiếu lẻ,Tiền thu được do bán cổ phiếu lẻ,134,93,134.0,93.0
LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG TÀI CHÍNH,(3.170.875),(3.161.417),-3170875.0,-3161417.0
LU'U CHUYÊN TIÊN THUÀN TRONG NĂM,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > LU'U CHUYÊN TIÊN THUÀN TRONG NĂM,LU'U CHUYÊN TIÊN THUÀN TRONG NĂM,(4.885.011),26.439.410,-4885011.0,26439410.0
TIÊN VÀ CÁC KHOÀN TƯƠNG ĐƯƠNG TIÊNDẦU NĂM,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > TIÊN VÀ CÁC KHOÀN TƯƠNG ĐƯƠNG TIÊNDẦU NĂM,TIÊN VÀ CÁC KHOÀN TƯƠNG ĐƯƠNG TIÊNDẦU NĂM,66.280.997,39.841.587,66280997.0,39841587.0
TIÊN VÀ CÁC KHOÀN TƯƠNG ĐƯƠNG TIÊNCƯỚI NĂM (THUYẾT MINH 27),LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > TIÊN VÀ CÁC KHOÀN TƯƠNG ĐƯƠNG TIÊNCƯỚI NĂM (THUYẾT MINH 27),TIÊN VÀ CÁC KHOÀN TƯƠNG ĐƯƠNG TIÊNCƯỚI NĂM (THUYẾT MINH 27),61.395.986,66.280.997,61395986.0,66280997.0
