row_label_raw,row_label_full,col_0,Phần mềm máy vi tính Triệu VND,Tài sân cố định vô hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Phần mềm máy vi tính Triệu VND,numeric__Tài sân cố định vô hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,626.078,7.246,633.324,626078.0,7246.0,633324.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,61.531,-,61.531,61531.0,,61531.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,687.609,7.246,694.855,687609.0,7246.0,694855.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,334.161,7.243,341.404,334161.0,7243.0,341404.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,63.990,3,63.993,63990.0,3.0,63993.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,398.151,7.246,405.397,398151.0,7246.0,405397.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,291.917,3,291.920,291917.0,3.0,291920.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,289.458,-,289.458,289458.0,,289458.0
