row_label_raw,row_label_full,col_0,Phần mềm máy vi tính Triệu VND,Tài sân cố định vô hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Phần mềm máy vi tính Triệu VND,numeric__Tài sân cố định vô hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,687.609,7.246,694.855,687609.0,7246.0,694855.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,82.176,-,82.176,82176.0,,82176.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,769.785,7.246,777.031,769785.0,7246.0,777031.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,398.151,7.246,405.397,398151.0,7246.0,405397.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,69.571,-,69.571,69571.0,,69571.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,467.722,7.246,474.968,467722.0,7246.0,474968.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,289.458,-,289.458,289458.0,,289458.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,302.063,-,302.063,302063.0,,302063.0
