row_label_raw,row_label_full,col_0,Thuyết minh,2024 Triệu VND,2023 Triệu VND (Phân loại lại),numeric__Thuyết minh,numeric__2024 Triệu VND,numeric__2023 Triệu VND (Phân loại lại)
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,28,32.442.938,36.691.187,28.0,32442938.0,36691187.0
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,28,(15.692.526),(18.207.116),28.0,-15692526.0,-18207116.0
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,28,16.750.412,18.484.071,28.0,16750412.0,18484071.0
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,29,3.202.927,3.613.539,29.0,3202927.0,3613539.0
Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,29,(1.437.468),(1.410.276),29.0,-1437468.0,-1410276.0
Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,29,1.765.459,2.203.263,29.0,1765459.0,2203263.0
Lãi thuần từ hoạt động kinh doanh ngoại hối,Lãi thuần từ hoạt động kinh doanh ngoại hối,Lãi thuần từ hoạt động kinh doanh ngoại hối,30,500.968,548.470,30.0,500968.0,548470.0
Lãi thuần từ mua bán chứng khoán đầu tư,Lãi thuần từ mua bán chứng khoán đầu tư,Lãi thuần từ mua bán chứng khoán đầu tư,31,247.967,129.730,31.0,247967.0,129730.0
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,,1.518.664,850.214,,1518664.0,850214.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,,(218.164),(58.600),,-218164.0,-58600.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,32,1.300.500,791.614,32.0,1300500.0,791614.0
"Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ góp vốn, mua cổ phần",,3.746,3.345,,3746.0,3345.0
Tổng thu nhập hoạt động,Tổng thu nhập hoạt động,Tổng thu nhập hoạt động,,20.569.052,22.160.493,,20569052.0,22160493.0
Chi phí hoạt động,Chi phí hoạt động,Chi phí hoạt động,33,(7.211.292),(6.610.743),33.0,-7211292.0,-6610743.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,13.357.760,15.549.750,,13357760.0,15549750.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,34,(4.353.458),(4.845.805),34.0,-4353458.0,-4845805.0
Tổng lợi nhuận trước thuế (mang sang trang sau),Tổng lợi nhuận trước thuế (mang sang trang sau),Tổng lợi nhuận trước thuế (mang sang trang sau),,9.004.302,10.703.945,,9004302.0,10703945.0
