row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2024,Chưa quá hạn và chưa phải TLDPTriệu VND,Đã quá hạn nhưng chưa phải TLDP > Quá hạn dưới 10 ngàyTriệu VND,Đã quá hạn nhưng chưa phải TLDP > Quá hạn từ 10 đến 90 ngàyTriệu VND,Đã quá hạn nhưng chưa phải TLDP > Quá hạn từ 91 đến 180 ngàyTriệu VND,Đã quá hạn nhưng chưa phải TLDP > Quá hạn từ 181 đến 360 ngàyTriệu VND,Đã quá hạn nhưng chưa phải TLDP > Quá hạn trên 360 ngàyTriệu VND,Quá hạn và đã được TLDPTriệu VND,Tổng cộngTriệu VND,numeric__Chưa quá hạn và chưa phải TLDPTriệu VND,numeric__Đã quá hạn nhưng chưa phải TLDP > Quá hạn dưới 10 ngàyTriệu VND,numeric__Đã quá hạn nhưng chưa phải TLDP > Quá hạn từ 10 đến 90 ngàyTriệu VND,numeric__Đã quá hạn nhưng chưa phải TLDP > Quá hạn từ 91 đến 180 ngàyTriệu VND,numeric__Đã quá hạn nhưng chưa phải TLDP > Quá hạn từ 181 đến 360 ngàyTriệu VND,numeric__Đã quá hạn nhưng chưa phải TLDP > Quá hạn trên 360 ngàyTriệu VND,numeric__Quá hạn và đã được TLDPTriệu VND,numeric__Tổng cộngTriệu VND
Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,9.909.074,-,-,-,-,-,-,9.909.074,9909074.0,,,,,,,9909074.0
Tiền gửi và cho vay các TCTD khác – gộp,Tiền gửi và cho vay các TCTD khác – gộp,Tiền gửi và cho vay các TCTD khác – gộp,105.588.516,-,-,-,-,-,-,105.588.516,105588516.0,,,,,,,105588516.0
Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,294.763.913,7.883.301,1.539.889,208.680,221.379,355.280,19.037.271,324.009.713,294763913.0,7883301.0,1539889.0,208680.0,221379.0,355280.0,19037271.0,324009713.0
Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,8.613,-,233,-,-,-,-,8.846,8613.0,,233.0,,,,,8846.0
Chứng khoán đầu tư – gộp (*),Chứng khoán đầu tư – gộp (*),Chứng khoán đầu tư – gộp (*),40.062.333,-,-,-,-,-,42.380,40.104.713,40062333.0,,,,,,42380.0,40104713.0
Tài sản tài chính khác – gộp,Tài sản tài chính khác – gộp,Tài sản tài chính khác – gộp,3.561.817,-,-,-,-,-,-,3.561.817,3561817.0,,,,,,,3561817.0
,,,453.894.266,7.883.301,1.540.122,208.680,221.379,355.280,19.079.651,483.182.679,453894266.0,7883301.0,1540122.0,208680.0,221379.0,355280.0,19079651.0,483182679.0
Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Chưa quá hạn và chưa phải TLDPTriệu VND,Đã quá hạn nhưng chưa phải TLDP,Đã quá hạn nhưng chưa phải TLDP,Đã quá hạn nhưng chưa phải TLDP,Đã quá hạn nhưng chưa phải TLDP,Đã quá hạn nhưng chưa phải TLDP,Quá hạn và đã được TLDPTriệu VND,Tổng cộngTriệu VND,,,,,,,,
Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Chưa quá hạn và chưa phải TLDPTriệu VND,Quá hạn dưới 10 ngàyTriệu VND,Quá hạn từ 10 đến 90 ngàyTriệu VND,Quá hạn từ 91 đến 180 ngàyTriệu VND,Quá hạn từ 181 đến 360 ngàyTriệu VND,Quá hạn trên 360 ngàyTriệu VND,Quá hạn và đã được TLDPTriệu VND,Tổng cộngTriệu VND,,,,,,,,
Tiền gửi tại NHNNVN,Tại ngày 31 tháng 12 năm 2023 > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,8.217.767,-,-,-,-,-,-,8.217.767,8217767.0,,,,,,,8217767.0
Tiền gửi và cho vay các TCTD khác – gộp,Tại ngày 31 tháng 12 năm 2023 > Tiền gửi và cho vay các TCTD khác – gộp,Tiền gửi và cho vay các TCTD khác – gộp,68.197.574,-,-,-,-,-,-,68.197.574,68197574.0,,,,,,,68197574.0
Cho vay khách hàng – gộp,Tại ngày 31 tháng 12 năm 2023 > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,234.565.665,8.418.572,2.137.292,228.712,303.935,119.971,20.571.398,266.345.545,234565665.0,8418572.0,2137292.0,228712.0,303935.0,119971.0,20571398.0,266345545.0
Hoạt động mua nợ - gộp,Tại ngày 31 tháng 12 năm 2023 > Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,15.391,248,856,-,-,-,-,16.495,15391.0,248.0,856.0,,,,,16495.0
Chứng khoán đầu tư – gộp (*),Tại ngày 31 tháng 12 năm 2023 > Chứng khoán đầu tư – gộp (*),Chứng khoán đầu tư – gộp (*),48.693.798,-,-,-,-,-,42.380,48.736.178,48693798.0,,,,,,42380.0,48736178.0
Tài sản tài chính khác – gộp,Tại ngày 31 tháng 12 năm 2023 > Tài sản tài chính khác – gộp,Tài sản tài chính khác – gộp,5.887.001,-,-,-,-,-,-,5.887.001,5887001.0,,,,,,,5887001.0
,,,365.577.196,8.418.820,2.138.148,228.712,303.935,119.971,20.613.778,397.400.560,365577196.0,8418820.0,2138148.0,228712.0,303935.0,119971.0,20613778.0,397400560.0
