row_label_raw,row_label_full,col_0,col_1,Số dư,Số dư_1,numeric__col_1,numeric__Số dư,numeric__Số dư_1
,,,,31/12/2024Triệu VND,31/12/2023Triệu VND,,,
Các bên liên quan,Các bên liên quan,Các bên liên quan,Các bên liên quan,Các bên liên quan,Các bên liên quan,,,
"Thành viên Hội đồng Quản trị, Ban Kiểm soát,Ban Tổng Giám đốc và Kế toán trưởng","Thành viên Hội đồng Quản trị, Ban Kiểm soát,Ban Tổng Giám đốc và Kế toán trưởng","Thành viên Hội đồng Quản trị, Ban Kiểm soát,Ban Tổng Giám đốc và Kế toán trưởng","Thành viên Hội đồng Quản trị, Ban Kiểm soát,Ban Tổng Giám đốc và Kế toán trưởng","Thành viên Hội đồng Quản trị, Ban Kiểm soát,Ban Tổng Giám đốc và Kế toán trưởng","Thành viên Hội đồng Quản trị, Ban Kiểm soát,Ban Tổng Giám đốc và Kế toán trưởng",,,
-,"Thành viên Hội đồng Quản trị, Ban Kiểm soát,Ban Tổng Giám đốc và Kế toán trưởng > -",-,Cho vay,1.080,1.134,,1080.0,1134.0
-,"Thành viên Hội đồng Quản trị, Ban Kiểm soát,Ban Tổng Giám đốc và Kế toán trưởng > -",-,Tiền gửi không kỳ hạn tại VIB,10.047,19.291,,10047.0,19291.0
-,"Thành viên Hội đồng Quản trị, Ban Kiểm soát,Ban Tổng Giám đốc và Kế toán trưởng > -",-,Tiền gửi có kỳ hạn tại VIB,5.938,88.613,,5938.0,88613.0
-,"Thành viên Hội đồng Quản trị, Ban Kiểm soát,Ban Tổng Giám đốc và Kế toán trưởng > -",-,Lãi phải trả tiền gửi có kỳ hạn tại VIB,31,1.415,,31.0,1415.0
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,,
-,Các bên liên quan khác > -,-,Cho vay,59.765,64.399,,59765.0,64399.0
-,Các bên liên quan khác > -,-,Tiền gửi không kỳ hạn tại VIB,32.365,19.295,,32365.0,19295.0
-,Các bên liên quan khác > -,-,Tiền gửi có kỳ hạn tại VIB,254.219,435.172,,254219.0,435172.0
-,Các bên liên quan khác > -,-,Giấy tờ có giá VIB phát hành,3.300,800,,3300.0,800.0
-,Các bên liên quan khác > -,-,Lãi phải thu từ cho vay,372,95,,372.0,95.0
-,Các bên liên quan khác > -,-,Lãi phải trả tiền gửi có kỳ hạn tại VIB,2.327,4.595,,2327.0,4595.0
