row_label_raw,row_label_full,"Ngân hàng thương mại cổ phần Quốc Tế Việt NamTâng 1 (Tầng trệt) và Tầng 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2024 (tiếp theo)","Ngân hàng thương mại cổ phần Quốc Tế Việt NamTâng 1 (Tầng trệt) và Tầng 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2024 (tiếp theo) > Quá hạn","Ngân hàng thương mại cổ phần Quốc Tế Việt NamTâng 1 (Tầng trệt) và Tầng 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2024 (tiếp theo) > Khônghuống lãi","Ngân hàng thương mại cổ phần Quốc Tế Việt NamTâng 1 (Tầng trệt) và Tầng 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2024 (tiếp theo) > Dưới1 tháng","Ngân hàng thương mại cổ phần Quốc Tế Việt NamTâng 1 (Tầng trệt) và Tầng 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2024 (tiếp theo) > Từ 1 đến3 tháng","Ngân hàng thương mại cổ phần Quốc Tế Việt NamTâng 1 (Tầng trệt) và Tầng 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2024 (tiếp theo) > Từ trên 3đến6 tháng","Ngân hàng thương mại cổ phần Quốc Tế Việt NamTâng 1 (Tầng trệt) và Tầng 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2024 (tiếp theo) > Từ trên 6đến12 tháng","Ngân hàng thương mại cổ phần Quốc Tế Việt NamTâng 1 (Tầng trệt) và Tầng 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2024 (tiếp theo) > Từ trên 1đến5 năm","Ngân hàng thương mại cổ phần Quốc Tế Việt NamTâng 1 (Tầng trệt) và Tầng 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2024 (tiếp theo) > Trên 5 năm","Ngân hàng thương mại cổ phần Quốc Tế Việt NamTâng 1 (Tầng trệt) và Tầng 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2024 (tiếp theo) > Tổng cộng","numeric__Ngân hàng thương mại cổ phần Quốc Tế Việt NamTâng 1 (Tầng trệt) và Tầng 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2024 (tiếp theo) > Quá hạn","numeric__Ngân hàng thương mại cổ phần Quốc Tế Việt NamTâng 1 (Tầng trệt) và Tầng 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2024 (tiếp theo) > Khônghuống lãi","numeric__Ngân hàng thương mại cổ phần Quốc Tế Việt NamTâng 1 (Tầng trệt) và Tầng 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2024 (tiếp theo) > Dưới1 tháng","numeric__Ngân hàng thương mại cổ phần Quốc Tế Việt NamTâng 1 (Tầng trệt) và Tầng 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2024 (tiếp theo) > Từ 1 đến3 tháng","numeric__Ngân hàng thương mại cổ phần Quốc Tế Việt NamTâng 1 (Tầng trệt) và Tầng 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2024 (tiếp theo) > Từ trên 3đến6 tháng","numeric__Ngân hàng thương mại cổ phần Quốc Tế Việt NamTâng 1 (Tầng trệt) và Tầng 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2024 (tiếp theo) > Từ trên 6đến12 tháng","numeric__Ngân hàng thương mại cổ phần Quốc Tế Việt NamTâng 1 (Tầng trệt) và Tầng 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2024 (tiếp theo) > Từ trên 1đến5 năm","numeric__Ngân hàng thương mại cổ phần Quốc Tế Việt NamTâng 1 (Tầng trệt) và Tầng 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2024 (tiếp theo) > Trên 5 năm","numeric__Ngân hàng thương mại cổ phần Quốc Tế Việt NamTâng 1 (Tầng trệt) và Tầng 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2024 (tiếp theo) > Tổng cộng"
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,1.639.368,-,-,-,-,-,-,1.639.368,,1639368.0,,,,,,,1639368.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,9.909.074,-,-,-,-,-,-,9.909.074,,9909074.0,,,,,,,9909074.0
Tiền gửi và cho vaycác TCTD khác – gộp,Tài sản > Tiền gửi và cho vaycác TCTD khác – gộp,Tiền gửi và cho vaycác TCTD khác – gộp,-,-,86.466.379,15.412.422,3.030.098,679.617,-,-,105.588.516,,,86466379.0,15412422.0,3030098.0,679617.0,,,105588516.0
Các công cụ tài chính phải sinh và cáctài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và cáctài sản tài chính khác,Các công cụ tài chính phải sinh và cáctài sản tài chính khác,-,821.872,-,-,-,-,-,-,821.872,,821872.0,,,,,,,821872.0
Cho vay khách hàngvà hoạt động mua nợ - gộp,Tài sản > Cho vay khách hàngvà hoạt động mua nợ - gộp,Cho vay khách hàngvà hoạt động mua nợ - gộp,7.014.577,-,37.861.052,88.092.922,78.337.029,69.648.779,42.892.951,171.249,324.018.559,7014577.0,,37861052.0,88092922.0,78337029.0,69648779.0,42892951.0,171249.0,324018559.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,42.380,-,499.994,50.128,5.500.418,34.061.915,553.712,9.679.645,50.388.192,42380.0,,499994.0,50128.0,5500418.0,34061915.0,553712.0,9679645.0,50388192.0
"Góp vốn, đầu tư dài hạn – gộp","Tài sản > Góp vốn, đầu tư dài hạn – gộp","Góp vốn, đầu tư dài hạn – gộp",-,69.667,-,-,-,-,-,-,69.667,,69667.0,,,,,,,69667.0
Tài sản cổ định và bất động sản đầu tư,Tài sản > Tài sản cổ định và bất động sản đầu tư,Tài sản cổ định và bất động sản đầu tư,-,797.629,-,-,-,-,-,-,797.629,,797629.0,,,,,,,797629.0
Tài sản Có khác – gộp,Tài sản > Tài sản Có khác – gộp,Tài sản Có khác – gộp,-,5.663.528,-,-,-,-,-,-,5.663.528,,5663528.0,,,,,,,5663528.0
,,,7.056.957,18.901.138,124.827.425,103.555.472,86.867.545,104.390.311,43.446.663,9.850.894,498.896.405,7056957.0,18901138.0,124827425.0,103555472.0,86867545.0,104390311.0,43446663.0,9850894.0,498896405.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Tiền gửi và vay từ NHNN và cáctCTD khác,Nợ phải trả > Tiền gửi và vay từ NHNN và cáctCTD khác,Tiền gửi và vay từ NHNN và cáctCTD khác,-,-,107.476.059,29.676.232,4.635.172,-,13,-,141.787.476,,,107476059.0,29676232.0,4635172.0,,13.0,,141787476.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,96.237,95.621.445,55.783.298,79.680.776,20.920.995,24.205.571,-,276.308.322,,96237.0,95621445.0,55783298.0,79680776.0,20920995.0,24205571.0,,276308322.0
"Vốn tài trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro",-,-,3.957,1.411,-,-,-,-,5.368,,,3957.0,1411.0,,,,,5368.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,402.761,651.818,560.000,2.000.000,17.648.000,2.000.000,23.262.579,,,402761.0,651818.0,560000.0,2000000.0,17648000.0,2000000.0,23262579.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,9.932.816,-,-,-,-,-,-,9.932.816,,9932816.0,,,,,,,9932816.0
,,,-,10.029.053,203.504.222,86.112.759,84.875.948,22.920.995,41.853.584,2.000.000,451.296.561,,10029053.0,203504222.0,86112759.0,84875948.0,22920995.0,41853584.0,2000000.0,451296561.0
Mức chênh lệch nhạy cảm vớilãi suất – nội bằng,Nợ phải trả > Mức chênh lệch nhạy cảm vớilãi suất – nội bằng,Mức chênh lệch nhạy cảm vớilãi suất – nội bằng,7.056.957,8.872.085,(78.676.797),17.442.713,1.991.597,81.469.316,1.593.079,7.850.894,47.599.844,7056957.0,8872085.0,-78676797.0,17442713.0,1991597.0,81469316.0,1593079.0,7850894.0,47599844.0
Các cam kết ngoại bằng có tác độngtới mức độ nhạy cảm với lãi suất củacác tài sản và nợ phải trả (thuẩn),Nợ phải trả > Các cam kết ngoại bằng có tác độngtới mức độ nhạy cảm với lãi suất củacác tài sản và nợ phải trả (thuẩn),Các cam kết ngoại bằng có tác độngtới mức độ nhạy cảm với lãi suất củacác tài sản và nợ phải trả (thuẩn),-,-,(1.406.920),1.337.135,324.741,571.006,8.331,-,834.293,,,-1406920.0,1337135.0,324741.0,571006.0,8331.0,,834293.0
"Mức chênh nhạy cảm vớilãi suất nội, ngoại bằng","Nợ phải trả > Mức chênh nhạy cảm vớilãi suất nội, ngoại bằng","Mức chênh nhạy cảm vớilãi suất nội, ngoại bằng",7.056.957,8.872.085,(80.083.717),18.779.848,2.316.338,82.040.322,1.601.410,7.850.894,48.434.137,7056957.0,8872085.0,-80083717.0,18779848.0,2316338.0,82040322.0,1601410.0,7850894.0,48434137.0
