row_label_raw,row_label_full,Chỉ tiêu,2023Triệu VND(Phân loại lại),2023Triệu VND(Theo báo cáo trước đây),numeric__2023Triệu VND(Phân loại lại),numeric__2023Triệu VND(Theo báo cáo trước đây)
BÁO CÁO KẾT QUẢ HOẠT ĐỘNG HỢP NHẤT,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG HỢP NHẤT,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG HỢP NHẤT,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG HỢP NHẤT,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG HỢP NHẤT,,
Thu nhập lãi và các khoản thu nhập tương tự,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG HỢP NHẤT > Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,36.691.187,35.567.669,36691187.0,35567669.0
Thu nhập từ hoạt động dịch vụ,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG HỢP NHẤT > Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,3.613.539,4.801.297,3613539.0,4801297.0
Chi phí hoạt động dịch vụ,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG HỢP NHẤT > Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,(1.410.276),(1.474.516),-1410276.0,-1474516.0
BÁO CÁO LƯU CHUYỀN TIỀN TỆ HỢP NHẤT,BÁO CÁO LƯU CHUYỀN TIỀN TỆ HỢP NHẤT,BÁO CÁO LƯU CHUYỀN TIỀN TỆ HỢP NHẤT,BÁO CÁO LƯU CHUYỀN TIỀN TỆ HỢP NHẤT,BÁO CÁO LƯU CHUYỀN TIỀN TỆ HỢP NHẤT,,
Thu nhập lãi và các khoản thu nhập tương tự nhận được,BÁO CÁO LƯU CHUYỀN TIỀN TỆ HỢP NHẤT > Thu nhập lãi và các khoản thu nhập tương tự nhận được,Thu nhập lãi và các khoản thu nhập tương tự nhận được,35.460.196,34.336.678,35460196.0,34336678.0
Thu nhập từ hoạt động dịch vụ nhận được,BÁO CÁO LƯU CHUYỀN TIỀN TỆ HỢP NHẤT > Thu nhập từ hoạt động dịch vụ nhận được,Thu nhập từ hoạt động dịch vụ nhận được,2.203.263,3.326.781,2203263.0,3326781.0
